"rowname","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se","Q0.25","Q0.75"
"Location*",1,243,2.1358024691358,0.83448038595244,2,2.16923076923077,1.4826,1,3,2,-0.256817428721553,-1.52360803056424,0.0535319417181227,1,3
"Site*",2,243,2.34567901234568,1.10775434174962,2,2.30769230769231,1.4826,1,4,3,0.217972324812904,-1.29998264988483,0.0710624741561245,1,3
"Section*",3,243,18.440329218107,9.3446154499635,19,18.6615384615385,10.3782,1,34,33,-0.20419415767501,-0.999795175302006,0.599457360612218,12,25
"sample",4,243,167.320987654321,133.630688855439,141,152,131.9514,1,529,528,0.875132156740078,-0.0643748319965831,8.57241268696477,56.5,239.5
"min_depth",5,243,179.702057613169,131.502046757964,160.4,168.422564102564,137.58528,0,503.9,503.9,0.648712930456338,-0.518862249192443,8.43586023274417,68.9,257.05
"max_depth",6,243,180.858024691358,131.471586847304,161.5,169.575384615385,137.28876,1.1,505.1,504,0.648887703343928,-0.519498173665528,8.43390622856423,70.05,258.25
"midpoint",7,243,180.279012345679,131.484405368921,160.9,168.997948717949,137.28876,0.6,504.5,503.9,0.648847396884154,-0.519095831289607,8.43472853710941,69.5,257.65
"SH20_age",8,243,3856.27012799279,2804.36472001971,3452.74666666667,3668.41878461893,3272.54118290908,-55.4909090909091,10924.02,10979.5109090909,0.472917816001875,-0.762103718560099,179.900080667697,1373.26251748252,5844.575
"kcps",9,243,21196.7043214146,2299.14942331284,21778.75,21444.0596180437,2106.26916818183,13682.1,25273.7692307692,11591.6692307692,-0.934045386091856,0.290697313149708,147.490504272982,20069.6666666666,22976.2727272727
"cps",10,243,55882.7042149881,6575.19406974664,55134,55299.1092658607,4367.44308,38366.3,90008.25,51641.95,1.26801767344,3.78983981229142,421.798896238028,52060.1098901099,57814.5
"MSE",11,243,1.34480859872799,0.0511662463760453,1.33833333333333,1.34106421346376,0.0481845,1.24090909090909,1.515,0.27409090909091,0.70071023532919,0.20381530228505,0.00328231623540361,1.30839743589743,1.37423076923076
