Location,Site,Section,sample,min_depth,max_depth,midpoint,SH20_age,kcps,cps,MSE,K,Ca,Ti,Mn,Fe,Co,Ni,Cu,Zn,Rb,Sr,Zr,Mo_inc,Mo_coh,coh_inc,K_sd,Ca_sd,Ti_sd,Mn_sd,Fe_sd,Co_sd,Ni_sd,Cu_sd,Zn_sd,Rb_sd,Sr_sd,Zr_sd,Mo_inc_sd,Mo_coh_sd,coh_inc_sd,water_content_pc,water_content_err,dry_mass_pc,dry_mass_err,density_gcm3,density_gcm3_err,P_ICP,P_ICP_sd,K_ICP,K_ICP_sd,Ca_ICP,Ca_ICP_sd,Ti_ICP,Ti_ICP_sd,Mn_ICP,Mn_ICP_sd,Fe_ICP,Fe_ICP_sd,Co_ICP,Co_ICP_sd,Ni_ICP,Ni_ICP_sd,Cu_ICP,Cu_ICP_sd,Zn_ICP,Zn_ICP_sd,As_ICP,As_ICP_sd,Rb_ICP,Rb_ICP_sd,Sr_ICP,Sr_ICP_sd,Zr_ICP,Zr_ICP_sd,Pb_ICP,Pb_ICP_sd,Th_ICP,Th_ICP_sd
Bird Island,BI10,BI10.1,1,0,1.1,0.6,-55.49090909,20689.81818,52220.36364,1.329090909,8.636363636,42,15.27272727,16.36363636,5450.545455,68.90909091,172.7272727,88,8,26.18181818,28.72727273,792.3636364,38213.72727,5590.272727,0.146376585,9.831304362,15.8113883,17.90581419,11.56955252,835.9219298,58.91087259,26.46163604,47.18262392,18.15488915,39.54950867,47.40272336,126.0430662,1611.558568,191.8406062,0.003886984,87.48565272,4.374282636,12.51434728,1.251434728,0.106894716,0.010689472,3631.01094,41.22201845,1782.206118,520.9093274,1557.061769,23.70865277,134.9563972,2.246361623,34.34524027,0.178633186,13959.03161,176.5369365,0.738789575,0.008034972,2.467420581,0.015066934,4.369649931,0.022750235,22.90793616,0.057813095,1.593037056,0.008373058,2.288761162,0.010158086,26.58846642,0.463509298,2.896325963,0.085387528,1.440961807,0.005279507,0.193973613,0.004950768
Bird Island,BI10,BI10.1,4,3.9,5,4.5,5.216666667,24515.91667,60507.16667,1.321666667,10.41666667,43.08333333,12.83333333,35.66666667,5083.583333,81.58333333,238.75,98.91666667,0,56.5,2.083333333,898.5,45226.25,6602.416667,0.145989152,8.979353422,12.12404323,12.82634599,18.95608961,710.0685573,41.30476163,34.79322034,46.75557008,0,72.09148229,7.216878365,114.7443799,654.3573009,185.3877795,0.003613515,89.51385849,4.475692925,10.48614151,1.048614151,0.175709963,0.017570996,2187.768178,58.29252023,1331.46149,522.7119355,1397.543318,16.95048652,79.78694045,0.954822132,28.06949723,0.234649235,9355.988249,27.23893955,0.761205508,0.003005595,2.98969441,0.02200764,3.255429522,0.010150183,12.50967591,0.167196198,1.332775979,0.02334512,1.525038372,0.011740776,25.05462045,0.186955871,2.113253146,0.03629458,2.373368867,0.02400569,0.111198299,0.000588647
Bird Island,BI10,BI10.1,10,11.7,12.8,12.3,132.0833333,21782.66667,52798.33333,1.291666667,9.833333333,56.5,12.5,12.91666667,1170,33.08333333,191.9166667,71.25,4.333333333,28.58333333,10.25,921.5,42093.83333,6060.5,0.143955505,8.558178792,15.82001034,7.786935446,12.28789747,185.3448874,34.65796074,24.60028948,53.7623136,12.70170592,44.55937476,24.83445188,127.6639766,1322.154016,252.6443782,0.003010999,86.3842849,4.319214245,13.6157151,1.36157151,0.145233799,0.01452338,2538.801945,60.0436628,1545.22611,589.8765904,2547.021617,33.02866289,340.544392,4.893302391,37.1899001,0.366072293,3942.206507,48.5012016,1.745989306,0.00454165,3.556521683,0.014282314,5.828405269,0.020076539,13.94648753,0.043639925,1.743850558,0.029034748,4.398970104,0.046912281,46.4043754,0.519109914,6.431024383,0.078886265,1.816847326,0.011704502,0.392855167,0.002705738
Bird Island,BI10,BI10.1,22,26.7,27.8,27.2,382.8666667,21759.58333,52292.16667,1.33,11.33333333,125.0833333,31.91666667,28.5,1496.25,50.16666667,203.3333333,87.41666667,90.91666667,74.33333333,248.0833333,840.25,40802.66667,6037.25,0.148022999,9.208033383,20.78224038,13.74083717,8.639233973,127.3064485,34.22341924,17.30650605,47.77686457,60.62471493,79.60394386,60.54368571,91.05954595,1078.149453,98.40650847,0.003202734,80.34415977,4.017207989,19.65584023,1.965584023,0.214200619,0.021420062,6654.725412,133.8869744,4972.490853,1373.757336,6361.863436,96.22229039,1070.668936,10.73236296,59.55046887,0.237697509,4568.280308,27.82191253,1.171208352,0.012269219,7.052448962,0.06465722,18.80830619,0.176446353,83.1136075,1.204215632,4.803888726,0.047934098,19.01381163,0.109765839,121.9608593,0.839622095,35.64216716,0.676354366,5.697875838,0.054057547,2.206277124,0.022103189
Bird Island,BI10,BI10.1,30,36.3,37.2,36.7,541.72,22119.4,57449,1.346,26.3,217.7,75.3,44.1,7994.7,144.2,213,137.5,74.1,47,349.4,793.2,38550.7,6177,0.160262792,22.63748121,27.90877998,27.37821518,17.53377693,1003.562881,53.02368444,38.55443482,51.66827954,26.91323508,37.44922488,106.5574441,107.0252307,967.395593,126.3232186,0.00242683,78.20947367,3.910473683,21.79052633,2.179052633,0.303817276,0.030381728,3726.942347,91.16765458,16457.36219,3980.600316,8442.247188,102.4072847,1962.99309,30.40726253,148.1529747,0.305567488,18556.10587,33.23324312,14.98993637,0.050641414,9.844407416,0.040880493,25.3957986,0.092788179,90.06087679,0.829001857,7.177832466,0.057235004,43.16823811,0.83280191,150.558177,2.59385652,40.9140318,0.917402906,4.940056387,0.065822161,4.042046336,0.032130391
Bird Island,BI10,BI10.1,34,40.9,41.9,41.4,618.7,23491.90909,61638.18182,1.349090909,11.09090909,171.7272727,33.09090909,36.45454545,10621.27273,258.1818182,227.4545455,143,17.45454545,5.636363636,148.1818182,831.4545455,40697.09091,6303.272727,0.154934023,8.141922936,21.74898117,12.9340987,17.27057403,985.4789791,60.44802426,38.94448263,51.50145629,19.22167337,9.902249515,98.66794635,100.5160322,1249.597652,167.3362429,0.003348951,80.52653948,4.026326974,19.47346052,1.947346052,0.25962259,0.025962259,3202.443185,82.71131473,10808.43657,2190.076237,8467.75867,27.42631931,1538.231355,7.943023099,149.1109339,0.185893427,34440.81517,173.6494448,4.788646274,0.037728077,10.02079263,0.096502178,25.1006547,0.200410389,83.32372544,0.676115824,7.880957488,0.074791029,21.08188416,0.09353744,145.2111951,2.397227724,27.74345656,3.945793598,7.408811877,0.095574739,2.195438664,0.011765005
Bird Island,BI10,BI10.2,45,44,45,44.5,670.06,23876.4,60911.7,1.358,14.7,248,39.4,32,6755.8,189.9,219.5,142.2,265.8,47.9,369.7,866.8,42680.9,6658.3,0.156005654,7.572611468,30.23978248,14.82640288,16.00694294,1156.003537,73.9541149,38.77929001,30.11016809,53.05091894,51.60415573,85.43750152,126.1787092,801.7086545,145.3142572,0.002073748,73.71568049,3.685784024,26.28431951,2.628431951,0.351176997,0.0351177,1394.696114,24.37745178,66668.75515,13007.37375,10818.31417,94.24288942,3006.601666,14.09773486,498.7089785,6.046753704,25853.87296,38.38777974,6.375776882,0.021747503,9.325702706,0.028353619,12.41602198,0.076135345,63.36397587,0.318454995,4.414249569,0.038359467,138.1998527,2.068052956,165.8736664,2.61051165,60.55383697,6.691084732,3.509034885,0.044750539,10.86384958,0.079884546
Bird Island,BI10,BI10.2,51,51.9,52.9,52.4,800.2454545,24296.54545,57427.36364,1.319090909,10.18181818,201.4545455,13.90909091,34.81818182,1059.545455,61.54545455,235.4545455,125.0909091,3.272727273,31.63636364,301.6363636,927.1818182,45251.90909,6734.363636,0.148821988,8.412112479,15.58437446,14.03890698,16.98716093,180.1123892,35.1692014,31.43044268,36.71908099,10.8544084,61.23605593,99.87519485,95.6230288,298.8807302,161.2279583,0.003551217,84.86290758,4.243145379,15.13709242,1.513709242,0.178667469,0.017866747,3384.904962,93.00445812,2479.827204,632.4407929,6975.196896,67.76762951,301.0170716,3.519876752,55.70453095,0.688199618,26327.35852,199.5705658,17.04437568,0.072771457,9.672030755,0.061309265,30.70187991,0.12301453,154.2471074,0.912951267,10.64861794,0.177330122,5.28425398,0.054223017,110.8952002,2.069414432,6.355756988,0.110447115,2.861172068,0.011046014,0.732997581,0.006237929
Bird Island,BI10,BI10.2,54,55.3,56.3,55.8,856.1454545,24361,56855.45455,1.398181818,6.090909091,175,8.454545455,33,848.8181818,34.90909091,242.6363636,129.4545455,13,28.27272727,142,922.1818182,45281,6665,0.147191486,7.751832628,17.37239189,9.277538859,15.54348738,82.92022453,34.7000131,31.40787394,54.47635016,22.21260903,36.03634529,97.45460482,63.17407408,466.7517541,176.81742,0.003572464,77.63395109,3.881697554,22.36604891,2.236604891,0.276912503,0.02769125,3001.682437,49.99798666,23399.21394,3611.164788,7326.374157,349.9533771,1904.013462,92.77560752,235.7531016,13.60034647,20544.92897,1107.050592,5.701846016,0.226259322,6.289145655,1.766837081,12.23274868,0.369735042,56.72463202,1.511547748,5.236852561,0.016924834,58.41930414,1.652885172,153.965778,1.949345735,31.40903404,0.597663272,6.319566267,0.119404834,4.857814687,0.12796856
Bird Island,BI10,BI10.2,62,64.4,65.4,64.9,1005.718182,22100.09091,54142.18182,1.27,25.81818182,270.9090909,65.45454545,53,2591.363636,73.27272727,197,131.8181818,495.4545455,137.6363636,578.8181818,860.4545455,39740.27273,6298.272727,0.158576434,20.3951866,43.27922029,47.76685804,34.30160346,263.6502504,18.13334447,28.72281323,61.3413697,70.33116469,115.2347801,175.5829252,100.4752344,1545.351746,213.911239,0.004789498,87.79085529,4.389542764,12.20914471,1.220914471,0.143757408,0.014375741,4341.206788,110.6435017,867.9986358,403.6307052,5816.665099,70.73844961,225.6496719,2.024591047,36.54824658,0.120334052,2355.109726,9.689444316,1.54911114,0.010688746,7.635178907,0.081872982,44.61646774,0.152122701,109.0593506,0.741410788,6.931517761,0.104210602,3.560602291,0.038361736,97.81476508,1.178390202,6.255310392,0.136212551,4.714142544,0.009348352,0.621271024,0.00212764
