"Location","Site","Section","sample","min_depth","max_depth","midpoint","Mn","Mn_sd","Mn_ICP","Mn_ICP_sd","Mn_fit_OLS","Mn_lwr_OLS","Mn_upr_OLS","Mn_fit_WLS","Mn_lwr_WLS","Mn_upr_WLS"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-1.30972720714305,-0.0654863603571525,-0.0635356415265467,-0.00317678207632733,-0.441760101103709,-1.39534769745964,0.511827495252227,-0.461521043707432,-1.31508098284379,0.392038895428923
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,-0.184290589789961,-0.00921452948949803,-0.0165474503882118,-0.000827372519410588,0.348568451983117,-0.606928644552222,1.30406554851846,0.376725273184825,-0.700841976992171,1.45429252336182
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,-1.23012751603662,-0.0615063758018312,-0.243600908865024,-0.0121800454432512,-0.385861876602841,-1.33874919883335,0.567025445627665,-0.402233699696312,-1.27079399430902,0.466326594916395
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,-1.3290399560565,-0.0664519978028252,-0.708827591890483,-0.0354413795945241,-0.455322319241588,-1.40909890260489,0.498454264121714,-0.475905541595764,-1.32585043814518,0.374039354953654
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,-1.35446806436548,-0.0677234032182739,-0.533324400672106,-0.0266662200336053,-0.473178997918732,-1.42721576238407,0.480857766546608,-0.494844873946319,-1.3400449582593,0.350355210366659
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,-1.08492444701838,-0.0542462223509191,-0.327669504447657,-0.0163834752223829,-0.283894222741665,-1.23583091427643,0.668042468793103,-0.294083728450258,-1.1904025308771,0.602235073976579
"Bird Island","BI10","BI10.2",45,44,45,44.5,-1.69121232946949,-0.0845606164734746,0.405863119226714,0.0202931559613357,-0.709654871989608,-1.66834838754424,0.249038643565027,-0.745658323238479,-1.52976701262837,0.0384503661514146
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,-0.813700483481001,-0.0406850241740501,-0.843460913829237,-0.0421730456914619,-0.0934294383550361,-1.04472446036049,0.857865583650418,-0.0920710295718095,-1.04147033895613,0.857328279812509
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,-0.748800567209537,-0.0374400283604768,0.0812867235545771,0.00406433617772885,-0.0478540091114801,-0.9992148203194,0.903506802096439,-0.0437323537704842,-1.0060475082749,0.918582800733929
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,-1.32735853446289,-0.0663679267231444,-0.63999270052538,-0.031999635026269,-0.454141554838936,-1.40790138858312,0.499618278905246,-0.474653187232791,-1.32491243272354,0.375606058257959
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,-1.30935145004996,-0.0654675725024982,-0.757053092837117,-0.0378526546418558,-0.441496228793965,-1.39508022198982,0.512087764401889,-0.461241172771593,-1.31487154384417,0.39238919830098
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,-1.10123330209142,-0.0550616651045712,-0.789639840041126,-0.0394819920020563,-0.295346981283228,-1.2473693682665,0.656675405700042,-0.306230869823584,-1.19940757582451,0.586945836177339
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,-1.09570624977863,-0.0547853124889318,-0.468778542581216,-0.0234389271290608,-0.291465654525374,-1.24345840141616,0.660527092365415,-0.302114217519022,-1.19635510661961,0.59212667158157
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,-1.46599403930362,-0.0732997019651811,-0.62976259583715,-0.0314881297918575,-0.551497191094072,-1.50682722725312,0.403832845064979,-0.577911513407177,-1.40250866990628,0.246685643091928
"Bird Island","BI10","BI10.3",95,93,94,93.5,-0.951053838872095,-0.0475526919436048,-0.707282012930893,-0.0353641006465446,-0.189884695767197,-1.14131984956822,0.761550458033829,-0.194374386770339,-1.11670407761349,0.727955304072809
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,-1.05879379975818,-0.0529396899879089,-0.618439670611773,-0.0309219835305887,-0.265544191898568,-1.21735470979275,0.686266325995611,-0.274621131902269,-1.17598668264938,0.626744418844839
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,-0.957187293820777,-0.0478593646910389,-0.426211194364728,-0.0213105597182364,-0.194191863758954,-1.14564212397595,0.75725839645804,-0.198942699140207,-1.12007238810637,0.722186989825953
