"Location","Site","Section","sample","min_depth","max_depth","midpoint","Fe","Fe_sd","Fe_ICP","Fe_ICP_sd","Fe_fit_OLS","Fe_lwr_OLS","Fe_upr_OLS","Fe_fit_WLS","Fe_lwr_WLS","Fe_upr_WLS"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-1.94334538537241,-0.194334538537241,9.54388200499906,1.71789876089983,9.23742005150405,7.92100393723732,10.5538361657708,9.24701493351809,7.90918325124186,10.5848466157943
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,-2.18691153779199,-0.218691153779199,9.14377187171782,1.64587893690921,9.06725731847653,7.75061636167773,10.3838982752753,9.08324037322532,7.69408940713266,10.472391339318
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,-3.58034100787613,-0.358034100787613,8.27949587269265,1.49030925708468,8.09376504725921,6.77255154954698,9.41497854497145,8.14629451069474,6.4620421183312,9.83054690305829
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,-3.30464934232977,-0.330464934232977,8.42689211285074,1.51684058031313,8.28637164228997,6.96650544054289,9.60623784403704,8.33167035562519,6.70597157592566,9.95736913532471
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,-1.57468365399816,-0.157468365399816,9.82855417128756,1.76913975083176,9.49497836636067,8.17857658376462,10.8113801489567,9.49490411004283,8.23455017695235,10.7552580431333
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,-1.34371676740077,-0.134371676740077,10.4469976275415,1.88045957295746,9.65633886851519,8.3397460285606,10.9729317084698,9.65020688885224,8.43825278463346,10.862160993071
"Bird Island","BI10","BI10.2",45,44,45,44.5,-1.84243040345179,-0.184243040345179,10.1602156930854,1.82883882475537,9.3079223317119,7.99154916967191,10.6242954937519,9.31487044885476,7.99827215353462,10.6314687441749
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,-3.75376069454476,-0.375376069454476,10.1783639253917,1.8321055065705,7.97260877184426,6.650436465952,9.29478107773651,8.02968662964017,6.30856782088616,9.75080543839417
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,-3.97673298899806,-0.397673298899806,9.93036942402266,1.78746649632408,7.81683353527431,6.49330248744127,9.14036458310735,7.87975943688863,6.1112044507534,9.64831442302385
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,-2.7267129000849,-0.27267129000849,7.76434259814642,1.39758166766636,8.69013564460164,7.37238619257089,10.0078850966324,8.72027643149228,7.21707675569921,10.2234761072854
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,-3.03769731749776,-0.303769731749776,8.73921076841923,1.57305793831546,8.47287245811101,7.15410326819302,9.791641648029,8.51116964176086,6.94209860948766,10.0802406740341
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,-3.02641374952533,-0.302641374952533,8.21468216401249,1.47864278952225,8.48075550239043,7.16202817434313,9.79948283043772,8.51875674434002,6.95207763892202,10.085435849758
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,-3.20068050934054,-0.320068050934054,8.74585699995511,1.57425425999192,8.35900743587369,7.03959279545959,9.67842207628778,8.40157928893884,6.79794367105804,10.0052149068196
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,-3.5993292739098,-0.35993292739098,8.23051471759084,1.48149264916635,8.08049926623158,6.75918497165046,9.4018135608127,8.13352674764765,6.44523897362441,9.82181452167089
