"Location","Site","Section","sample","min_depth","max_depth","midpoint","depth","depth_err","SH20_min_age_95CI","SH20_max_age_95CI","SH20_median_age","SH20_mean_age","SH20_mean_95CI","accrate","accrate_err","kcps","cps","MSE","K","Ca","Ti","Mn","Fe","Co","Ni","Cu","Zn","Rb","Sr","Zr","Mo_inc","Mo_coh","inc_coh","Ln_inc_coh","coh_inc","Ln_coh_inc","Total_scatter","kcps_sd","cps_sd","MSE_sd","K_sd","Ca_sd","Ti_sd","Mn_sd","Fe_sd","Co_sd","Ni_sd","Cu_sd","Zn_sd","Rb_sd","Sr_sd","Zr_sd","Mo_inc_sd","Mo_coh_sd","inc_coh_sd","Ln_inc_coh_sd","coh_inc_sd","Ln_coh_inc_sd","Total_scatter_sd","Water_Content_pc","Dry_mass","Dry_mass_err","LOI550","LOI550_err","C_org_pc","C_org_pc_err","Volume_cm3","Volume_err_cm3","Wet_density_g_cm3","Dry_density_g_cm3","Dry_density_err_g_cm3","DMAR_g_cm2_yr","DMAR_err_g_cm2_yr","DMAR_err_pc","P_ICP","P_ICP_sd","K_ICP","K_ICP_sd","Ca_ICP","Ca_ICP_sd","Ti_ICP","Ti_ICP_sd","Mn_ICP","Mn_ICP_sd","Fe_ICP","Fe_ICP_sd","Co_ICP","Co_ICP_sd","Ni_ICP","Ni_ICP_sd","Cu_ICP","Cu_ICP_sd","Zn_ICP","Zn_ICP_sd","As_ICP","As_ICP_sd","Rb_ICP","Rb_ICP_sd","Sr_ICP","Sr_ICP_sd","Zr_ICP","Zr_ICP_sd","Pb_ICP","Pb_ICP_sd","Th_ICP","Th_ICP_sd"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,0.6,0.55,-67,-52,-61,-61,7,0.09517,0.07549,20689.8181818182,52220.3636363636,1.32909090909091,8.63636363636364,42,15.2727272727273,16.3636363636364,5450.54545454545,68.9090909090909,172.727272727273,88,8,26.1818181818182,28.7272727272727,792.363636363636,38213.7272727273,5590.27272727273,6.83609068610093,1.92189393407525,0.146376584805626,-1.92189393407525,43804,873.506590493949,1818.18003909004,0.0570007974425876,9.83130436181006,15.8113883008419,17.9058141903177,11.5695525174721,835.921929804018,58.9108725880962,26.4616360382003,47.1826239202527,18.1548891486563,39.5495086741117,47.4027233586656,126.043066233151,1611.55856802718,191.840606186016,0.182202518477055,0.0266040344866153,0.00388698441670404,0.0266040344866165,1764.16580853388,87.49,12.51,0.63,90.56,4.53,52.34,4.53,3.9915,0.2116,0.7473,0.1069,0.011,0.0102,0.0091,89.6,3631.01094,41.22201845,1782.206118,320.7971012,1557.061769,202.41803,134.9563972,18.89389561,34.34524027,4.121428832,13959.03161,2512.62569,0.738789575,0.05171527,2.467420581,1.332407114,4.369649931,0.61175099,22.90793616,2.061714254,1.593037056,0.008373058,2.288761162,0.366201786,26.58846642,0.531769328,2.896325963,0.144816298,1.440961807,0.005279507,0.193973613,0.004950768
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,4.5,0.55,-62,41,-24,-20,52,0.09524,-0.2374,24515.9166666667,60507.1666666667,1.32166666666667,10.4166666666667,43.0833333333333,12.8333333333333,35.6666666666667,5083.58333333333,81.5833333333333,238.75,98.9166666666667,0.545454545454546,56.5,2.08333333333333,898.5,45226.25,6602.41666666667,6.85367335296956,1.92450380862644,0.145989151530002,-1.92450380862644,51828.6666666667,487.302119901613,1472.7535641125,0.0682020172100148,8.97935342208936,12.12404322998,12.8263459923375,18.9560896108172,710.068557296129,41.3047616302689,34.793220342736,46.7555700781557,1.80906806746658,72.0914822859249,7.21687836487032,114.744379937637,654.357300924141,185.387779499833,0.169742759332832,0.0247563332352572,0.00361351535070216,0.0247563332352567,759.696390711846,89.51,10.49,0.52,90.31,4.52,45.15,4.52,3.7179,0.303,1.4999,0.1757,0.0231,0.0167,-0.0395,-236.1,2187.768178,58.29252023,1331.46149,239.6630682,1397.543318,181.6806313,79.78694045,11.17017166,28.06949723,3.368339668,9355.988249,1684.077885,0.761205508,0.053284386,2.98969441,1.614434981,3.255429522,0.455760133,12.50967591,1.125870832,1.332775979,0.02334512,1.525038372,0.24400614,25.05462045,0.501092409,2.113253146,0.105662657,2.373368867,0.02400569,0.111198299,0.000588647
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,12.3,0.55,-33,189,50,60,111,0.10578,0.20089,21782.6666666667,52798.3333333333,1.29166666666667,9.83333333333333,56.5,12.5,12.9166666666667,1170,33.0833333333333,191.916666666667,71.25,4.33333333333333,28.5833333333333,10.25,921.5,42093.8333333333,6060.5,6.94940689120671,1.93845295222349,0.143955505051114,-1.93845295222349,48154.3333333333,564.754223829564,1711.6640671545,0.0825539309491166,8.55817879238476,15.8200103436353,7.78693544575551,12.287897470374,185.344887366033,34.6579607366654,24.6002894784643,53.7623136001081,12.7017059221718,44.559374757596,24.8344518763753,127.663976552083,1322.15401615101,252.644378164609,0.146903944946384,0.021027399433942,0.00301099952131653,0.0210273994339425,1547.89853633495,86.38,13.62,0.68,90.68,4.53,45.34,4.53,4.7687,0.701,0.9214,0.1452,0.0286,0.0154,0.0322,209.6,2538.801945,60.0436628,1545.22611,278.1406998,2547.021617,331.1128102,340.544392,47.67621488,37.1899001,4.462788012,3942.206507,709.5971713,1.745989306,0.122219251,3.556521683,1.920521709,5.828405269,0.815976738,13.94648753,1.255183878,1.743850558,0.029034748,4.398970104,0.703835217,46.4043754,0.928087508,6.431024383,0.321551219,1.816847326,0.011704502,0.392855167,0.002705738
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,27.2,0.525,82,372,212,214,145,0.08802,0.06119,21759.5833333333,52292.1666666667,1.33,11.3333333333333,125.083333333333,31.9166666666667,28.5,1496.25,50.1666666666667,203.333333333333,87.4166666666667,90.9166666666667,74.3333333333333,248.083333333333,840.25,40802.6666666667,6037.25,6.75858272014732,1.91060099750393,0.148022999208843,-1.91060099750393,46839.9166666667,587.01238307108,1289.58695525021,0.0680908484039054,9.2080333832952,20.7822403785423,13.7408371673856,8.63923397277581,127.306448454828,34.2234192365758,17.3065060458531,47.7768645672651,60.6247149321633,79.603943864534,60.5436857053473,91.0595459525848,1078.14945273104,98.4065084691603,0.145036190302208,0.0215474644845002,0.00320273437829333,0.0215474644845003,1138.1072371852,80.34,19.66,0.98,72.7,3.63,36.35,3.64,5.6796,1.5477,0.8756,0.2142,0.0691,0.0189,0.0192,101.8,6654.725412,133.8869744,4972.490853,895.0483535,6361.863436,827.0422467,1070.668936,149.893651,59.55046887,7.146056264,4568.280308,822.2904554,1.171208352,0.081984585,7.052448962,3.808322439,18.80830619,2.633162867,83.1136075,7.480224675,4.803888726,0.047934098,19.01381163,3.042209861,121.9608593,2.439217186,35.64216716,1.782108358,5.697875838,0.054057547,2.206277124,0.022103189
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,36.7,0.475,182,468,347,340,143,0.07126,0.0308,22119.4,57449,1.346,26.3,217.7,75.3,44.1,7994.7,144.2,213,137.5,74.1,47,349.4,793.2,38550.7,6177,6.2410442382564,1.83104381001585,0.160262791645752,-1.83104381001585,44727.7,229.566354484082,1848.9555009368,0.126156868840169,22.6374812104959,27.9087799805008,27.378215184096,17.5337769272149,1003.56288071827,53.0236844354588,38.5544348220078,51.6682795447179,26.9132350753718,37.4492248844278,106.557444080125,107.025230670156,967.395592988377,126.323218592449,0.0948601087796941,0.0151714348203626,0.00242683017014439,0.0151714348203629,1070.94880570662,78.21,21.79,1.09,61.98,3.1,30.99,3.1,4.6609,1.6313,1.0904,0.3038,0.1215,0.0216,0.018,83.2,3726.942347,91.16765458,16457.36219,2962.325194,8442.247188,1097.492134,1962.99309,274.8190326,148.1529747,17.77835696,18556.10587,3340.099057,14.98993637,1.049295546,9.844407416,5.315980005,25.3957986,3.555411804,90.06087679,8.105478911,7.177832466,0.057235004,43.16823811,6.906918098,150.558177,3.01116354,40.9140318,2.04570159,4.940056387,0.065822161,4.042046336,0.032130391
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,41.4,0.5,244,520,411,404,138,0.07979,0.02824,23491.9090909091,61638.1818181818,1.34909090909091,11.0909090909091,171.727272727273,33.0909090909091,36.4545454545455,10621.2727272727,258.181818181818,227.454545454545,143,17.4545454545455,5.63636363636364,148.181818181818,831.454545454545,40697.0909090909,6303.27272727273,6.45711632008172,1.86496900650171,0.154934023509529,-1.86496900650171,47000.3636363636,847.186809923933,2006.33381161669,0.0644134373332995,8.14192293570193,21.74898116736,12.9340986965041,17.2705740284661,985.478979066433,60.4480242552528,38.944482629414,51.5014562900895,19.2216733733754,9.90224951486002,98.6679463471478,100.516032190257,1249.59765160995,167.336242881864,0.14028327149581,0.0216709542657281,0.0033489506434168,0.0216709542657275,1375.40454214222,80.53,19.47,0.97,46.97,2.35,23.49,2.35,4.9063,1.9134,1.0736,0.2596,0.1142,0.0207,0.0164,79.4,3202.443185,82.71131473,10808.43657,1945.518583,8467.75867,1100.808627,1538.231355,215.3523897,149.1109339,17.89331207,34440.81517,6199.346731,4.788646274,0.335205239,10.02079263,5.41122802,25.1006547,3.514091658,83.32372544,7.49913529,7.880957488,0.074791029,21.08188416,3.373101466,145.2111951,2.904223902,27.74345656,1.387172828,7.408811877,0.095574739,2.195438664,0.011765005
"Bird Island","BI10","BI10.2",51,45.9,46.9,46.4,46.4,0.5,374,544,470,467,85,0.07984,0.01535,24155,62053.0909090909,1.37454545454545,10.7272727272727,228.909090909091,50.1818181818182,39.3636363636364,8172.09090909091,189.636363636364,225.454545454545,133.090909090909,197.363636363636,63.5454545454545,302.909090909091,884.090909090909,42397,6672.27272727273,6.35744417844683,1.84925346121172,0.15741285768978,-1.84925346121172,49069.2727272727,453.477232063529,1133.33829499805,0.0912538915733062,11.0642750245184,30.8397618196203,21.8806680968301,16.8004328948556,673.613161175679,54.9313621299759,26.6771948913811,43.0939776429481,115.521662667461,56.8847319346125,69.39806127761,64.2875641869476,762.777687140886,166.460260067736,0.182779022109478,0.0285929826949338,0.00447529735867597,0.0285929826949336,803.325599107745,84.86,15.14,0.76,86.82,4.34,43.41,4.34,5.8291,3.2905,1.0017,0.1787,0.1098,0.0143,0.0115,80.7,3384.904962,93.00445812,2479.827204,446.3688967,6975.196896,906.7755965,301.0170716,42.14239002,55.70453095,6.684543714,26327.35852,4738.924534,17.04437568,1.193106298,9.672030755,5.222896608,30.70187991,4.298263187,154.2471074,13.88223967,10.64861794,0.177330122,5.28425398,0.845480637,110.8952002,2.217904004,6.355756988,0.317787849,2.861172068,0.011046014,0.732997581,0.006237929
"Bird Island","BI10","BI10.2",54,49.3,50.3,49.8,49.8,0.5,431,612,509,509,91,0.04431,0.00833,23782.5454545455,58865.8181818182,1.30272727272727,12.5454545454545,216,30.3636363636364,32,4413.27272727273,77.0909090909091,238.636363636364,130.636363636364,14.6363636363636,48.0909090909091,221,970.545454545455,43566.6363636364,6609.09090909091,6.59292733472106,1.88587591794201,0.151714599760615,-1.88587591794201,50175.7272727273,415.853426975506,920.722739827992,0.0710057616100143,9.51171526448975,27.0628897200576,18.2223638821791,18.8997354478839,708.461020933275,50.6151252995674,29.3335055091366,52.6389071453288,40.2797038898568,65.1036935134322,105.862174547853,90.8166985045852,549.835297653265,99.8473380170494,0.107707506822578,0.01635969734757,0.00248530244767661,0.0163596973475704,588.710810315063,77.63,22.37,1.12,49.27,2.46,24.64,2.47,5.7227,3.3993,0.9612,0.2769,0.1783,0.0123,0.0102,83.2,3001.682437,49.99798666,23399.21394,4211.858509,7326.374157,952.4286404,1904.013462,266.5618847,235.7531016,28.29037219,20544.92897,3698.087215,5.701846016,0.399129221,6.289145655,3.396138654,12.23274868,1.712584815,56.72463202,5.105216882,5.236852561,0.016924834,58.41930414,9.347088662,153.965778,3.07931556,31.40903404,1.570451702,6.319566267,0.119404834,4.857814687,0.12796856
"Bird Island","BI10","BI10.2",62,58.4,59.4,58.9,58.9,0.5,517,1000,723,731,242,0.04011,0.0136,23787.4545454545,55955.6363636364,1.37,5,181.727272727273,17.0909090909091,39.8181818181818,1072.81818181818,23.4545454545455,231.272727272727,132.727272727273,143.545454545455,15.6363636363636,213.909090909091,884.818181818182,44227.8181818182,6491.09090909091,6.81663246711587,1.9191826547163,0.14675353397277,-1.9191826547163,50718.9090909091,321.697797206124,1024.87553124536,0.0861394218694321,6.34034699365894,38.0528340839179,10.774549136317,17.1861466409325,146.893034676133,31.3188877081024,39.4793386699699,35.9112542501398,47.3695337455703,23.0489597477749,66.8946254125913,75.6013467893505,670.18367902864,182.784274239035,0.137121980328982,0.0200333035531252,0.00292773861963747,0.020033303553125,814.114298430565,87.79,12.21,0.61,89.03,4.45,44.52,4.45,5.7227,3.8571,1.0337,0.1438,0.1041,0.0058,0.0061,106.3,4341.206788,110.6435017,867.9986358,156.2397544,5816.665099,756.1664629,225.6496719,31.59095407,36.54824658,4.38578959,2355.109726,423.9197507,1.54911114,0.10843778,7.635178907,4.12299661,44.61646774,6.246305484,109.0593506,9.815341554,6.931517761,0.104210602,3.560602291,0.569696367,97.81476508,1.956295302,6.255310392,0.31276552,4.714142544,0.009348352,0.621271024,0.00212764
"Bird Island","BI10","BI10.2",67,64.1,65.2,64.6,64.6,0.525,707,1112,883,891,203,0.03456,0.00815,22661.4166666667,55280.3333333333,1.31916666666667,17.8333333333333,251.666666666667,54.5,49.1666666666667,2572.33333333333,69.6666666666667,210.583333333333,154.416666666667,464.916666666667,122.333333333333,570.166666666667,903.166666666667,40818.8333333333,6431.91666666667,6.34778948107308,1.84772276932633,0.157657003875155,-1.84772276932633,47250.75,631.549387449532,1314.72107884202,0.0833893750953194,18.624682222223,43.756211680241,47.4906689399469,36.8234938180735,329.907792443815,26.3726212484681,30.7909618773648,63.0244661487373,57.3021629503449,97.9956709000531,167.205824894912,129.09674549333,1324.42974578312,173.929169665718,0.182454353927871,0.0290419334180879,0.00462805736992728,0.029041933418088,1425.89443221375,77.02,22.98,1.15,80.57,4.03,40.28,4.03,5.5719,4.0229,1.0497,0.3133,0.2418,0.0108,0.0109,100.8,3712.228887,74.17879973,7766.606331,1397.98914,9084.977882,1181.047125,1442.000824,201.8801154,88.46094721,10.61531367,6242.966621,1123.733992,4.068857773,0.284820044,5.960197779,3.218506801,36.59073739,5.122703235,261.6355831,23.54720248,8.072382999,0.070931291,30.36236272,4.857978035,168.0404108,3.360808216,30.42377281,1.521188641,4.487970407,0.077593013,2.556674805,0.045766663
