"Site","Element","Model","Rank_site","Robustness_score_site","R2_overall","RMSE_overall","RMSEP_overall","SNR_CI_s","SNR_smooth_s","n_mean"
"HER42PB","Ca","OLS_weighted",1,0.966290315264812,0.60078407376705,0.449611220751241,5620.88386479327,1,0.91572578816203,4009
"HER42PB","Ca","OLS",2,0.831749891295395,0.605349695781694,0.447032844459699,5504.63271481712,0.797652094473633,0.882896586528037,4009
"HER42PB","Ca","PLS_LOO",3,0.745637758387575,0.714591218855023,0.380160401230266,5060.00126868248,0.812825998972305,0.64485539751048,3901
"HER42PB","Ca","PLS_kfold",4,0.745637758387575,0.714591218855023,0.380160401230266,5060.00126868248,0.812825998972305,0.64485539751048,3901
"HER42PB","Ca","Bayes",5,0.729522777817058,0.71849446314204,0.377551919451181,4920.26934220119,0.824321832718183,0.58732419546537,3901
"HER42PB","Ca","RF",6,0.580182830039483,0.739371873885863,0.363281977243897,4506.9080410246,0.966971383399138,0,3901
"HER42PB","Ca","WLS_weighted",7,0.401784168196127,0.604732452698864,0.447382293228408,5447.03371534874,0.00573662399740849,0.995855484494204,4009
"HER42PB","Ca","WLS",8,0.4,0.604685117514639,0.447409080513934,5446.04597912254,0,1,4009
"HER42PB","Fe","OLS_weighted",1,0.990503391793059,0.705011398870254,0.619652240442579,19165.0781241486,1,0.976258479482647,4009
"HER42PB","Fe","OLS",2,0.646814074306526,0.711860213839782,0.612416695598065,19046.317786508,0.439663835797651,0.957539432069838,4009
"HER42PB","Fe","PLS_LOO",3,0.50461938850971,0.769588412151896,0.547643031052147,12699.4253247054,0.548310458220292,0.439082783943838,3901
"HER42PB","Fe","PLS_kfold",4,0.50461938850971,0.769588412151896,0.547643031052147,12699.4253247054,0.548310458220292,0.439082783943838,3901
"HER42PB","Fe","Bayes",5,0.489131766559566,0.782666025570093,0.531874559979908,13054.643263387,0.494934006135189,0.480428407196131,3901
"HER42PB","Fe","WLS_weighted",6,0.404360499890339,0.711404682307114,0.612900601250386,19121.2837499281,0.00726749981723219,1,4009
"HER42PB","Fe","WLS",7,0.399609665737381,0.711426381771426,0.612877558837851,19118.97376675,0,0.999024164343452,4009
"HER42PB","Fe","RF",8,0.278980935514483,0.80646417107391,0.501910285388067,18226.9640487726,0.464968225857471,0,3901
"HER42PB","Mn","PLS_LOO",1,0.8947664408058,0.652472643614871,0.567888873609633,106.37886834467,0.824610734676333,1,3901
"HER42PB","Mn","PLS_kfold",2,0.8947664408058,0.652472643614871,0.567888873609633,106.37886834467,0.824610734676333,1,3901
"HER42PB","Mn","OLS",3,0.613706807533945,0.642325781154841,0.576119639333299,111.776118917736,1,0.034267018834863,3936
"HER42PB","Mn","RF",4,0.589941917562683,0.693783864178937,0.533068349436722,100.340442065868,0.810416159203079,0.259230555102088,3901
"HER42PB","Mn","Bayes",5,0.57131443839507,0.675458563365959,0.54878715622519,106.167683499791,0.95219073065845,0,3901
"HER42PB","Mn","OLS_weighted",6,0.235083356259,0.621575234052913,0.592595892589243,115.442539169045,0.23163528208185,0.240255467524724,3936
"HER42PB","Mn","WLS",7,0.0727591954583895,0.64171449487873,0.57661174033931,108.962939644912,0.00389050099445253,0.176062237154295,3936
"HER42PB","Mn","WLS_weighted",8,0.0536645314649828,0.642027836746649,0.576359544649593,109.653909631702,0,0.134161328662457,3936
