"Location","Site","Section","sample","min_depth","max_depth","midpoint","Fe","Fe_sd","Fe_ICP","Fe_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-1.94334538537241,-3.68569455350129,9.54388200499906,5.1735301264337,9.23742005150405,7.92100393723732,10.5538361657708
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,-2.18691153779199,-4.22616680559978,9.14377187171782,3.304647550641,9.06725731847653,7.75061636167773,10.3838982752753
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,-3.58034100787613,-5.33451816528914,8.27949587269265,3.88158857289427,8.09376504725921,6.77255154954698,9.41497854497145
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,-3.30464934232977,-5.6628661371908,8.42689211285074,3.32582393071755,8.28637164228997,6.96650544054289,9.60623784403704
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,-1.57468365399816,-3.79602960418944,9.82855417128756,3.50355067375237,9.49497836636067,8.17857658376462,10.8113801489567
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,-1.34371676740077,-3.84610366149048,10.4469976275415,5.15703858194915,9.65633886851519,8.3397460285606,10.9729317084698
"Bird Island","BI10","BI10.2",45,44,45,44.5,-1.84243040345179,-3.57507914530664,10.1602156930854,3.64773917300838,9.3079223317119,7.99154916967191,10.6242954937519
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,-3.75376069454476,-5.5013508954219,10.1783639253917,5.29616788707133,7.97260877184426,6.650436465952,9.29478107773651
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,-3.97673298899806,-6.30250203003231,9.93036942402266,7.00945463356136,7.81683353527431,6.49330248744127,9.14036458310735
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,-2.7267129000849,-4.79868284574834,7.76434259814642,2.27103707812829,8.69013564460164,7.37238619257089,10.0078850966324
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,-3.03769731749776,-4.79175119133575,8.73921076841923,2.71722094895158,8.47287245811101,7.15410326819302,9.791641648029
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,-3.02641374952533,-5.19703035439424,8.21468216401249,3.35831851941963,8.48075550239043,7.16202817434313,9.79948283043772
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,-3.20068050934054,-4.97470370742296,8.74585699995511,3.66217734560713,8.35900743587369,7.03959279545959,9.67842207628778
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,-3.5993292739098,-5.95772266762088,8.23051471759084,2.46944614218091,8.08049926623158,6.75918497165046,9.4018135608127
"Bird Island","BI10","BI10.3",95,93,94,93.5,-2.49227356001004,-4.01323909169793,9.34055718331538,4.53403149960049,8.85392210852535,7.53675731236807,10.1710869046826
