"Location","Site","Section","sample","min_depth","max_depth","midpoint","Ni","Ni_sd","Ni_ICP","Ni_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-5.39923620551704,-7.70182174098593,0.903173305789281,-4.19525273760664,2.22049499909808,0.776766585510986,3.66422341268517
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,-5.24401594112675,-7.54660179183834,1.09517117816603,-3.81636561318177,2.23647445181384,0.792637160502347,3.68031174312532
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,-5.39059538799431,-7.69318004232058,1.26878301189716,-4.24873329038062,2.22138454490302,0.777652979281866,3.66511611052416
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,-5.3016561340343,-7.60424202970414,1.95337492700147,-2.73865550173223,2.23054056978682,0.786756627238873,3.67432451233478
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,-5.19843728105091,-7.50102273602339,2.28690351891334,-3.19710227347252,2.24116663582982,0.797276355789416,3.68505691587023
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,-5.18696151886321,-7.4895471486296,2.30466219731852,-2.33818970094371,2.24234803053995,0.798442905629944,3.68625315544996
"Bird Island","BI10","BI10.2",45,44,45,44.5,-5.27015448961334,-7.57273880482369,2.23277431990246,-3.56300060263451,2.23378356798342,0.789972360102941,3.67759477586391
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,-5.25848222680882,-7.56106655104488,2.26923829310479,-2.7918243055358,2.23498519183263,0.791162724064288,3.67880765960096
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,-5.22907884523547,-7.53166375160872,1.83882523557302,0.569190988181305,2.23801218026987,0.79415857441284,3.68186578612689
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,-5.30691663449786,-7.60950132403745,2.03276637087805,-2.50258623265872,2.22999901731139,0.786219183706581,3.67377885091619
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,-5.27037307080448,-7.57295855277562,1.78510366492264,-2.67471088895355,2.23376106571658,0.78995006272614,3.67757206870703
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,-5.2265886941129,-7.52917360095028,1.89825515343819,-3.02013611984136,2.23826853373167,0.794412108438325,3.68212495902501
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,-5.26176964573479,-7.56435454590644,1.85125704597165,-3.92358205457498,2.23464676208255,0.790827528891045,3.67846599527405
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,-5.22825171070006,-7.53083736309382,1.77702758358368,-3.04022677431082,2.23809733124709,0.794242792037998,3.68195187045619
