Base path:	Sample name:	Section name	User ID
	DP1_DP2_NEB8A	DP1__rep1	
Year	Month	Day	Time
2023	08	22	17
Voltage	45	kV	
Current	40	mA	
Exposure time	0	ms	
line camera signal level	204659	at 25 ms	
Step size	1000	microns	
XRF	ON		
XRF exp. time	10	seconds	
Start coordinate	137.0	Stop coordinate	142.0
XRF voltage and current	30	  	30
Tube	Mo		
Optical Start	0.5	Optical End	1783.0
Step size	0.047	microns	
Start temperature		°C	
Start humidity		%	
Start vacuum	-94.3	kPa	
Stop temperature		°C	
Stop humidity		%	
Stop vacuum		kPa	
