"Site","Element","Model","Robustness_score_site","SNR_CI_s","SNR_smooth_s","n_mean","R2_overall","RMSE_overall","RMSEP_overall","RMSEP","Global_Rank","Robustness_score","Robustness_Class","Confidence_Flag","Bootstrap_Unstable","Rank_site"
"HER42PB","Ca","OLS_weighted",0.958266437735552,0.995258437246719,0.902778438468801,4009,0.60078407376705,0.449611220751241,5620.88386479327,NA,5,0.593460749886599,"Unstable","Low confidence",FALSE,1
"HER42PB","Ca","OLS",0.829373531577884,0.7938699770124,0.882628863426109,4009,0.605349695781694,0.447032844459699,5504.63271481712,0.450923989941031,6,0.527514139089005,"Unstable","Low confidence",FALSE,2
"HER42PB","Ca","PLS_LOO",0.818642285889441,0.697737143149069,1,3971,0.605172814508826,0.447133012734933,5921.70892622602,0.450351241681476,2,0.640428498900347,"Acceptable 2","Moderate confidence",FALSE,3
"HER42PB","Ca","PLS_kfold",0.818642285889441,0.697737143149069,1,3971,0.605172814508826,0.447133012734933,5921.70892622602,0.450351241681476,3,0.640428498900347,"Acceptable 3","Moderate confidence",FALSE,4
"HER42PB","Ca","Bayes",0.758465940874753,0.697431680692615,0.850017331147962,3971,0.636884102731344,0.428801053115093,5546.07861545861,0.437812064252784,1,0.65436049816905,"Preferred 1","Moderate confidence",FALSE,5
"HER42PB","Ca","RF",0.6,1,0,3971,0.673677785504348,0.406496238911912,4915.58130206669,0.405320083182145,4,0.63469287550447,"Unstable","Low confidence (noise-dominated)",FALSE,6
"HER42PB","Ca","WLS_weighted",0.384209506987034,0.0057094234347328,0.951959632315486,4009,0.604732452698864,0.447382293228408,5447.03371534874,NA,7,0.212649992961434,"Unstable","Low confidence (uncertainty-dominated)",FALSE,7
"HER42PB","Ca","WLS",0.381801364434767,0,0.954503411086919,4009,0.604685117514639,0.447409080513934,5446.04597912254,NA,8,0.210194064930934,"Unstable","Low confidence (uncertainty-dominated)",FALSE,8
"HER42PB","Sr","OLS",0.782716548137097,0.807112838308737,0.746122112879638,4009,0.605940022011523,0.388440903375382,59.7735590156883,0.391554198151312,5,0.453394114796587,"Unstable","Low confidence",FALSE,1
"HER42PB","Sr","PLS_LOO",0.780497603152996,1,0.451244007882489,3971,0.619560933054721,0.381668523678026,58.9814163562467,0.387403145926133,3,0.681572628387012,"Acceptable 3","Moderate confidence",FALSE,2
"HER42PB","Sr","PLS_kfold",0.780497603152996,1,0.451244007882489,3971,0.619560933054721,0.381668523678026,58.9814163562467,0.387403145926133,4,0.681572628387012,"Acceptable 4","Moderate confidence",FALSE,3
"HER42PB","Sr","Bayes",0.67429055073672,0.849184921910615,0.411948993975879,3971,0.635271572146413,0.373704733132646,56.5643915636821,0.385058169520708,2,0.69096575996511,"Acceptable 2","Moderate confidence",FALSE,4
"HER42PB","Sr","RF",0.587653085611204,0.979421809352007,0,3971,0.694520038625107,0.34200712565981,43.8791563053624,0.346757684558846,1,0.7,"Unstable","Low confidence (noise-dominated)",FALSE,5
"HER42PB","Sr","OLS_weighted",0.4,0,1,4009,0.588442221601662,0.396971381054182,68.563181097856,NA,8,0.104718684234131,"Unstable","Low confidence (uncertainty-dominated)",FALSE,6
"HER42PB","Sr","WLS_weighted",0.391563226954441,0.109276874827769,0.814992755144448,4009,0.605197017350042,0.38880693583257,61.616501941787,NA,7,0.201892249595952,"Unstable","Low confidence (uncertainty-dominated)",FALSE,7
"HER42PB","Sr","WLS",0.350104003291732,0.0962548526615804,0.730877729236958,4009,0.605899324973479,0.388460961218056,59.3656290640811,NA,6,0.224381265643544,"Unstable","Low confidence (uncertainty-dominated)",FALSE,8
"HER42PB","Ti","OLS_weighted",0.894655698437668,0.824426164062779,1,3971,0.718555763474536,0.652933928562262,2173.73266969499,NA,5,0.661337636082951,"Unstable","Moderate confidence",FALSE,1
"HER42PB","Ti","OLS",0.861929724906845,0.862204236959342,0.8615179568281,3971,0.729930592021033,0.639603384224678,2035.54425020404,0.644447515724916,3,0.743945564809684,"Acceptable 3","Moderate confidence",FALSE,2
"HER42PB","Ti","PLS_LOO",0.852257046124916,0.862786744391629,0.836462498724847,3971,0.756227776634957,0.607666319730726,1919.97750377683,0.620336808479536,1,0.844778456730668,"Preferred 1","High confidence (signal-dominated)",FALSE,3
"HER42PB","Ti","PLS_kfold",0.852257046124916,0.862786744391629,0.836462498724847,3971,0.756227776634957,0.607666319730726,1919.97750377683,0.620336808479536,2,0.844778456730668,"Acceptable 2","High confidence (signal-dominated)",FALSE,4
"HER42PB","Ti","Bayes",0.811169186858675,0.83263812929667,0.778965773201683,3971,0.757847910218222,0.605643649083077,2132.72586760655,0.617880211717454,4,0.716725313773472,"Unstable","Low confidence (noise-dominated)",FALSE,5
"HER42PB","Ti","RF",0.6,1,0,3971,0.739729829501074,0.627892441456487,1631.97472441788,0.624680929647959,6,0.488300129057627,"Unstable","Low confidence (noise-dominated)",FALSE,6
"HER42PB","Ti","WLS_weighted",0.396491818254201,0.0170195093945801,0.965700281543632,3971,0.72919658362992,0.640471967780676,1893.08238585334,NA,7,0.368739820212937,"Unstable","Low confidence (uncertainty-dominated)",FALSE,7
"HER42PB","Ti","WLS",0.391972502906015,0,0.979931257265038,3971,0.728935134347202,0.640781067535794,1882.89538666468,NA,8,0.357525879797602,"Unstable","Low confidence (uncertainty-dominated)",FALSE,8
"HER42PB","Zr","PLS_LOO",0.840200893478597,0.733668155797661,1,3971,0.72037835645274,0.69492862207945,77.8910261396823,0.711474071275561,3,0.706378060237768,"Acceptable 3","Moderate confidence",FALSE,1
"HER42PB","Zr","PLS_kfold",0.840200893478597,0.733668155797661,1,3971,0.72037835645274,0.69492862207945,77.8910261396823,0.711474071275561,4,0.706378060237768,"Acceptable 4","Moderate confidence",FALSE,2
"HER42PB","Zr","Bayes",0.803516990864136,0.819783663350044,0.779116982135273,3971,0.7219222288162,0.693007515213175,84.3816359771264,0.70718613446717,7,0.654094190789526,"Unstable","Moderate confidence",FALSE,3
"HER42PB","Zr","RF",0.725146474466563,1,0.312866186166406,3971,0.744758871788424,0.66394198898659,46.0449432203038,0.675449546082181,5,0.702260749030039,"Unstable","Moderate confidence",FALSE,4
