"Location","Site","Section","sample","min_depth","max_depth","midpoint","Ni","Ni_sd","Ni_ICP","Ni_ICP_sd","Ni_fit_OLS","Ni_lwr_OLS","Ni_upr_OLS","Ni_fit_WLS","Ni_lwr_WLS","Ni_upr_WLS"
"Bird Island","BI10","BI10.8",318,311.7,312.8,312.2,0.457747115839251,0.0228873557919625,-2.46526709458231,-0.123263354729115,-2.64355715106572,-3.69669935850173,-1.59041494362971,-2.63898283887382,-3.68103724768323,-1.59692843006441
"Bird Island","BI10","BI10.8",326,321.7,322.8,322.2,0.318005205725699,0.015900260286285,-2.94025724076606,-0.147012862038303,-2.66577159883383,-3.71878235527796,-1.61276084238971,-2.66353914182095,-3.71076939125506,-1.61630889238685
"Bird Island","BI10","BI10.9",342,332.1,333.1,332.6,-0.109080874538512,-0.00545404372692561,-1.78145164252356,-0.089072582126178,-2.73366448375869,-3.78679799877344,-1.68053096874394,-2.73858931941584,-3.80220788017546,-1.67497075865621
"Bird Island","BI10","BI10.9",348,339.5,340.5,340,0.0669285823136016,0.00334642911568008,-2.19145461242822,-0.109572730621411,-2.70568466809166,-3.75867184315867,-1.65269749302466,-2.7076598613849,-3.76442199228933,-1.65089773048046
"Bird Island","BI10","BI10.9",361,355.7,356.7,356.2,0.0134307683955036,0.000671538419775179,-2.81508020013128,-0.140754010006564,-2.71418909165383,-3.76720654772049,-1.66117163558717,-2.71706082437814,-3.77589191963665,-1.65822972911962
"Bird Island","BI10","BI10.9",365,360.7,361.7,361.2,-0.281869268669178,-0.0140934634334589,-1.90388730022592,-0.0951943650112958,-2.76113225454581,-3.81453995706126,-1.70772455203035,-2.76895275260902,-3.83943904711816,-1.69846645809987
"Bird Island","BI10","BI10.9",372,369.1,371,370.1,0.0362162977785919,0.0018108148889296,-2.47053484797546,-0.123526742398773,-2.71056692882567,-3.76356997156566,-1.65756388608568,-2.71305681182466,-3.77100508968556,-1.65510853396375
"Bird Island","BI10","BI10.10",379,367.3,368.4,367.9,-0.0530600748939604,-0.00265300374469802,-2.35007559750051,-0.117503779875025,-2.72475898699955,-3.77783136303767,-1.67168661096143,-2.72874500194304,-3.79016589374266,-1.66732411014343
"Bird Island","BI10","BI10.10",386,375.7,376.6,376.1,0.0363191645550385,0.00181595822775193,-2.337301562759,-0.11686507813795,-2.71055057633249,-3.76355355910368,-1.65754759356129,-2.71303873544568,-3.77098303319385,-1.65509443769752
"Bird Island","BI10","BI10.10",390,380.5,381.5,381,0.164220848071118,0.00821104240355591,-2.88783019552372,-0.144391509776186,-2.69021834196118,-3.74318223486845,-1.63725444905391,-2.69056306951757,-3.7435965354215,-1.63752960361363
"Bird Island","BI10","BI10.10",392,382.9,384,383.4,-0.0767064222448065,-0.00383532111224032,-2.73517869299072,-0.136758934649536,-2.72851799206615,-3.78161451666723,-1.67542146746507,-2.7329002826936,-3.79524706643235,-1.67055349895485
"Bird Island","BI10","BI10.10",396,387.7,388.8,388.2,0.752421042366404,0.0376210521183202,-3.38720918101404,-0.169360459050702,-2.59671351951564,-3.65041008866562,-1.54301695036566,-2.58720093461517,-3.61865162543538,-1.55575024379496
"Bird Island","BI10","BI10.10",403,396.3,397.4,396.8,0.0190240749717456,0.000951203748587279,-2.81016164424419,-0.140508082212209,-2.71329993666312,-3.76631364626085,-1.66028622706539,-2.71607793434428,-3.77469209747248,-1.65746377121609
"Bird Island","BI10","BI10.10",410,404.6,405.6,405.1,0.00108767380964037,5.43836904820184e-05,-2.41700055360255,-0.120850027680127,-2.71615124480997,-3.76917744808628,-1.66312504153366,-2.71922982843504,-3.77854015031076,-1.65991950655932
"Bird Island","BI10","BI10.11",422,409.9,410.9,410.4,0.0518113798633046,0.00259056899316523,-3.01281573847008,-0.150640786923504,-2.70808781474938,-3.76108228940391,-1.65509334009485,-2.71031634863901,-3.76766178031687,-1.65297091696116
"Bird Island","BI10","BI10.11",424,412.2,413.2,412.7,-0.125911946943786,-0.00629559734718932,-2.56113003029056,-0.128056501514528,-2.73634008035333,-3.78949461993224,-1.68318554077443,-2.74154697837851,-3.80582860050489,-1.67726535625214
"Bird Island","BI10","BI10.11",427,415.8,416.8,416.3,0.0584383097833127,0.00292191548916564,-2.65812641136494,-0.132906320568247,-2.70703434704988,-3.76002549987595,-1.6540431942238,-2.70915182399073,-3.76624142396971,-1.65206222401176
"Bird Island","BI10","BI10.11",439,430.3,431.3,430.8,0.197081468171023,0.00985407340855117,-2.84774788820206,-0.142387394410103,-2.68499456529859,-3.73795986195304,-1.63202926864414,-2.68478860041558,-3.7365726812954,-1.63300451953576
"Bird Island","BI10","BI10.11",443,435.2,436.3,435.7,0.0704755121991123,0.00352377560995561,-2.44461541760234,-0.122230770880117,-2.70512082086348,-3.75810642667376,-1.65213521505319,-2.70703657317644,-3.76366199806839,-1.65041114828449
"Bird Island","BI10","BI10.11",449,442.8,443.8,443.3,-0.139900301322308,-0.00699501506611538,-3.31198262259165,-0.165599131129583,-2.73856377664782,-3.7917367234587,-1.68539082983693,-2.74400509754671,-3.80883876851938,-1.67917142657405
"Bird Island","BI10","BI10.12",461,447.5,448.7,448.1,0.109994496069934,0.00549972480349671,-3.79818127222492,-0.189909063611246,-2.69883857953492,-3.75181038872196,-1.64586677034787,-2.70009205567767,-3.75519828162076,-1.64498582973459
"Bird Island","BI10","BI10.12",465,452.8,453.9,453.4,-0.87371479148316,-0.043685739574158,-3.46803866708922,-0.173401933354461,-2.85521656642234,-3.91054175114833,-1.79989138169634,-2.87295546692939,-3.96795712687435,-1.77795380698444
"Bird Island","BI10","BI10.12",469,458.3,459.3,458.8,-0.00537426816299947,-0.000268713408149973,-3.66686342764081,-0.18334317138204,-2.71717848475764,-3.77020953069727,-1.664147438818,-2.72036536039233,-3.77992684947914,-1.66080387130551
"Bird Island","BI10","BI10.12",475,466.1,467.2,466.6,0.0186068751654479,0.000930343758272394,-3.70536605712528,-0.185268302856264,-2.71336625794997,-3.76638024231494,-1.660352273585,-2.71615124724536,-3.77478158618083,-1.65752090830989
"Bird Island","BI10","BI10.12",479,471.4,472.4,471.9,-0.0523102493894756,-0.00261551246947378,-3.13959832909983,-0.156979916454992,-2.72463978897592,-3.77771143888813,-1.67156813906371,-2.72861323802032,-3.79000481152711,-1.66722166451353
"Bird Island","BI10","BI10.12",484,478.2,479.2,478.7,0.175420864863755,0.00877104324318773,-2.86413794149919,-0.14320689707496,-2.68843790123413,-3.74140174690993,-1.63547405555833,-2.68859493408025,-3.74120199889466,-1.63598786926584
"Bird Island","BI10","BI10.13",506,473.4,474.5,474,-0.255342826025917,-0.0127671413012958,-2.87111157959329,-0.143555578979664,-2.75691540740171,-3.810272617537,-1.70355819726642,-2.76429136390231,-3.83371462472757,-1.69486810307705
"Bird Island","BI10","BI10.13",519,491,492,491.5,-0.0542411258245061,-0.00271205629122531,-2.11988556722862,-0.105994278361431,-2.72494673593033,-3.77802026063002,-1.67187321123063,-2.72895254343452,-3.79041961971464,-1.6674854671544
"Bird Island","BI10","BI10.13",522,494.8,495.8,495.3,-0.143109140355314,-0.00715545701776569,-2.61106473270411,-0.130553236635206,-2.7390738783563,-3.79225116717237,-1.68589658954022,-2.74456897436319,-3.80952940665533,-1.67960854207105
"Bird Island","BI10","BI10.13",525,498.7,499.7,499.2,-0.53696662167744,-0.026848331083872,-3.04281374311353,-0.152140687155676,-2.80168448987437,-3.85573316112433,-1.7476358186244,-2.81378001936379,-3.89464775104173,-1.73291228768586
"Bird Island","BI10","BI10.13",529,503.9,505.1,504.5,-0.130687979495828,-0.00653439897479139,-1.3563213926739,-0.0678160696336951,-2.73709931518546,-3.79026004424678,-1.68393858612414,-2.74238625202332,-3.80685626015535,-1.67791624389129
"Isla Hermite","HER42PB","HER42PB_1A",3,2.5,3.7,3.1,-0.164418635688005,-0.00822093178440027,-3.53636085674284,-0.176818042837142,-2.74246139947039,-3.79566865440298,-1.68925414453779,-2.74831360918759,-3.8141170277592,-1.68251019061598
"Isla Hermite","HER42PB","HER42PB_1A",5,5.3,6.5,5.9,-0.239757479942246,-0.0119878739971123,-3.50431590044438,-0.175215795022219,-2.75443784103495,-3.80776680542001,-1.7011088766499,-2.7615526115863,-3.83035276223863,-1.69275246093398
"Isla Hermite","HER42PB","HER42PB_1A",7,8.1,9.3,8.7,-0.336906612520709,-0.0168453306260354,-3.54891974738168,-0.177445987369084,-2.7698814136155,-3.82340359254559,-1.7163592346854,-2.77862425121617,-3.85132612048333,-1.70592238194901
"Isla Hermite","HER42PB","HER42PB_1A",9,10.9,12.1,11.5,-0.0164490754699803,-0.000822453773499015,-3.45741576482618,-0.172870788241309,-2.71893902122278,-3.77197878752268,-1.66589925492287,-2.72231149325319,-3.78230389130563,-1.66231909520075
"Isla Hermite","HER42PB","HER42PB_1A",13,16.3,17.5,16.9,0.101692648565092,0.00508463242825461,-3.3534028831918,-0.16767014415959,-2.70015830500328,-3.75313245093926,-1.64718415906731,-2.70155090708585,-3.75697567339168,-1.64612614078001
"Isla Hermite","HER42PB","HER42PB_1A",16,20.5,21.6,21.1,-0.0304463445675533,-0.00152231722837766,-3.44283608662239,-0.172141804331119,-2.7211641346695,-3.77421568276137,-1.66811258657762,-2.72477117897033,-3.78530900034613,-1.66423335759453
"Isla Hermite","HER42PB","HER42PB_1A",20,26.1,27.3,26.7,-0.254549437999568,-0.0127274718999784,-3.25043047997647,-0.162521523998823,-2.75678928434488,-3.81014503119937,-1.70343353749038,-2.76415194490686,-3.83354345945382,-1.69476043035991
"Isla Hermite","HER42PB","HER42PB_1A",25,33.1,34.1,33.6,-0.632024600416293,-0.0316012300208147,-3.30570634270954,-0.165285317135477,-2.81679563657274,-3.87115508580053,-1.76243618734495,-2.83048418865385,-3.91529281202678,-1.74567556528092
"Isla Hermite","HER42PB","HER42PB_1A",28,37.1,38.2,37.7,-0.713828345613117,-0.0356914172806559,-3.37405288151421,-0.168702644075711,-2.82979978846557,-3.88445790962467,-1.77514166730648,-2.84485924297815,-3.93309022750909,-1.75662825844721
"Isla Hermite","HER42PB","HER42PB_1A",31,41.2,42.3,41.7,-0.168719072088682,-0.00843595360443411,-3.36640623843503,-0.168320311921752,-2.74314502988395,-3.79635857071629,-1.68993148905161,-2.74906930816848,-3.81504309704393,-1.68309551929303
"Isla Hermite","HER42PB","HER42PB_1B",40,43.1,44.2,43.7,-0.139729026577779,-0.00698645132888896,-3.29179073694596,-0.164589536847298,-2.7385365494984,-3.79170926580445,-1.68536383319235,-2.74397500010128,-3.80880190638063,-1.67914809382194
"Isla Hermite","HER42PB","HER42PB_1B",48,54,55.1,54.5,-0.123016894953962,-0.00615084474769809,-2.7654936397537,-0.138274681987685,-2.73587986064429,-3.78903069648648,-1.6827290248021,-2.74103824214003,-3.80520572202588,-1.67687076225417
"Isla Hermite","HER42PB","HER42PB_1B",50,56.7,57.8,57.2,-0.15470388987507,-0.00773519449375351,-3.08948155837507,-0.154474077918754,-2.74091706883066,-3.79411041865123,-1.68772371901009,-2.74660647464905,-3.81202533145818,-1.68118761783992
"Isla Hermite","HER42PB","HER42PB_1B",56,64.7,65.8,65.2,-0.0690800654067976,-0.00345400327033988,-3.10825470005275,-0.155412735002638,-2.72730564778445,-3.78039411941389,-1.67421717615502,-2.73156013263593,-3.79360802161812,-1.66951224365375
"Isla Hermite","HER42PB","HER42PB_1B",60,69.9,70.9,70.4,0.0593281333956245,0.00296640666978122,-3.05452646204218,-0.152726323102109,-2.70689289385132,-3.7598836151346,-1.65390217256804,-2.70899545874443,-3.7660507226655,-1.65194019482337
"Isla Hermite","HER42PB","HER42PB_1B",63,73.7,74.8,74.3,0.0325285528257946,0.00162642764128973,-3.12109212742193,-0.156054606371097,-2.71115316109893,-3.76415838398983,-1.65814793820803,-2.7137048449178,-3.77179584092899,-1.65561384890661
"Isla Hermite","HER42PB","HER42PB_1B",69,81.5,82.5,82,-0.775025985104371,-0.0387512992552185,-3.25148321140234,-0.162574160570117,-2.83952823546409,-3.89442866698011,-1.78462780394806,-2.85561326640444,-3.94642308653555,-1.76480344627334
"Isla Hermite","HER42PB","HER42PB_1C",80,86.5,87.8,87.2,-0.529401428780239,-0.0264700714390119,-3.53439922031727,-0.176719961015863,-2.80048186868267,-3.85450748329224,-1.7464562540731,-2.81245061740782,-3.89300638621196,-1.73189484860367
"Isla Hermite","HER42PB","HER42PB_1C",86,94.8,96,95.4,0.174188771403804,0.00870943857019018,-3.2112294539891,-0.160561472699455,-2.68863376427758,-3.74159758853721,-1.63566994001794,-2.68881144507711,-3.74146538875894,-1.63615750139528
"Isla Hermite","HER42PB","HER42PB_1C",90,100.2,101.4,100.8,0.455002187986552,0.0227501093993276,-3.42974398563574,-0.171487199281787,-2.64399350588841,-3.69713231670928,-1.59085469506755,-2.63946519438094,-3.6816203685297,-1.59731002023219
"Isla Hermite","HER42PB","HER42PB_1C",91,101.6,103.1,102.3,0.152254179330304,0.0076127089665152,-3.20305996500177,-0.160152998250088,-2.69212065557265,-3.74508519965658,-1.63915611148872,-2.69266592572319,-3.74615562852111,-1.63917622292527
"Isla Hermite","HER42PB","HER42PB_1C",97,109.8,111,110.4,-0.568793201118987,-0.0284396600559493,-3.51380385845092,-0.175690192922546,-2.80674388748864,-3.86089226547694,-1.75259550950033,-2.81937278051829,-3.90155564068708,-1.73718992034949
"Isla Hermite","HER42PB","HER42PB_1C",104,119.2,120.3,119.8,0.502105919192658,0.0251052959596329,-3.26022072811987,-0.163011036405994,-2.63650553484443,-3.68970715756511,-1.58330391212375,-2.63118783870077,-3.67161890074883,-1.5907567766527
"Isla Hermite","HER42PB","HER42PB_1D",118,127.3,128.4,127.8,0.773939386537068,0.0386969693268534,-3.22787563753013,-0.161393781876507,-2.59329279818553,-3.64704456996362,-1.53954102640744,-2.58341959959588,-3.61411273347266,-1.55272646571909
"Isla Hermite","HER42PB","HER42PB_1D",121,130.9,132.2,131.6,0.507567336145176,0.0253783668072588,-2.97282181131011,-0.148641090565506,-2.63563734604171,-3.68884687312781,-1.5824278189556,-2.63022812511808,-3.67045998087796,-1.58999626935819
"Isla Hermite","HER42PB","HER42PB_1D",131,143.2,144.4,143.8,0.67998909953245,0.0339994549766225,-3.09544014504774,-0.154772007252387,-2.60822785769465,-3.66175332815397,-1.55470238723533,-2.59992911852102,-3.63394669108587,-1.56591154595617
"Isla Hermite","HER42PB","HER42PB_1D",137,150.7,151.9,151.3,0.806358562984189,0.0403179281492095,-2.99550555342084,-0.149775277671042,-2.58813919679791,-3.64197791631147,-1.53430047728435,-2.57772270367192,-3.60727887713265,-1.54816653021118
"Isla Hermite","HER42PB","HER42PB_1D",144,159.2,160.3,159.8,0.370943999301963,0.0185471999650981,-3.28703304935037,-0.164351652467518,-2.65735604144056,-3.71040664137077,-1.60430544151034,-2.65423641330051,-3.69949488537648,-1.60897794122454
"Isla Hermite","HER42PB","HER42PB_1D",147,162.9,164.1,163.5,-0.218405117433913,-0.0109202558716956,-3.08818478763326,-0.154409239381663,-2.75104350542525,-3.80433547958996,-1.69775153126053,-2.75780044387967,-3.8257486803035,-1.68985220745584
"Isla Hermite","HER42PB","HER42PB_1E",158,169.3,170.5,169.9,0.553086930407049,0.0276543465203525,-2.79031415582063,-0.139515707791031,-2.62840120157843,-3.6816816343129,-1.57512076884395,-2.62222914366851,-3.66080630020262,-1.58365198713441
"Isla Hermite","HER42PB","HER42PB_1E",162,175.6,176.8,176.2,0.478073964478208,0.0239036982239104,-1.83536202485556,-0.0917681012427782,-2.64032583902044,-3.69349421487094,-1.58715746316993,-2.63541088073519,-3.67672023041746,-1.59410153105291
"Isla Hermite","HER42PB","HER42PB_1E",166,181.9,183.1,182.5,0.817508046515849,0.0408754023257925,-2.91689598377817,-0.145844799188909,-2.5863667892263,-3.6402364615101,-1.53249711694251,-2.57576344824822,-3.60492981698831,-1.54659707950813
"Isla Hermite","HER42PB","HER42PB_1E",174,194.9,196.1,195.5,0.478785601705712,0.0239392800852856,-3.19657319937595,-0.159828659968798,-2.64021271169874,-3.69338203612155,-1.58704338727592,-2.63528582749001,-3.67656912904294,-1.59400252593708
"Isla Hermite","HER42PB","HER42PB_1E",179,202.5,203.6,203,0.547280927503324,0.0273640463751662,-2.94405057011672,-0.147202528505836,-2.62932416841165,-3.68259505794837,-1.57605327887493,-2.62324941000164,-3.66203706165234,-1.58446175835094
"Isla Hermite","HER42PB","HER42PB_1F",184,201.4,202.5,202,-0.127555037113928,-0.0063777518556964,-3.20138032964749,-0.160069016482374,-2.73660127859181,-3.78975793637941,-1.68344462080421,-2.74183571223047,-3.8061821328099,-1.67748929165105
"Isla Hermite","HER42PB","HER42PB_1F",189,208.1,209.3,208.7,0.42330395240428,0.021165197620214,-2.8299513637472,-0.14149756818736,-2.64903250097666,-3.70213445256403,-1.59593054938928,-2.64503540216768,-3.68835683851459,-1.60171396582076
"Isla Hermite","HER42PB","HER42PB_1F",191,210.9,212.2,211.5,0.491824190101055,0.0245912095050527,-2.74361544514925,-0.137180772257463,-2.63813999750267,-3.69132708987635,-1.58495290512899,-2.63299460700806,-3.67380108956109,-1.59218812445503
"Isla Hermite","HER42PB","HER42PB_1F",197,219.3,220.5,219.9,0.404438034877569,0.0202219017438785,-2.958167510958,-0.1479083755479,-2.65203157218696,-3.70511365237611,-1.59894949199782,-2.64835063655788,-3.69236849463205,-1.60433277848372
"Isla Hermite","HER42PB","HER42PB_1F",200,223.4,224.6,224,0.45614069752404,0.022807034876202,-2.79349003485607,-0.139674501742803,-2.64381251966436,-3.69695273533309,-1.59067230399562,-2.63926512852319,-3.68137850397329,-1.59715175307309
"Isla Hermite","HER42PB","HER42PB_1F",205,230.3,231.5,230.9,0.32063138706826,0.016031569353413,-3.07731862427499,-0.15386593121375,-2.6653541208688,-3.71836656760626,-1.61234167413135,-2.66307765317671,-3.71020977216089,-1.61594553419253
"Isla Hermite","HER42PB","HER42PB_1F",209,235.8,236.9,236.4,0.22774619624348,0.011387309812174,-3.24936888705824,-0.162468444352912,-2.68011986450528,-3.73309069208333,-1.62714903692723,-2.67940000688822,-3.73002276314992,-1.62877725062652
