"Site","Element","Model","Rank_site","Robustness_score_site","R2_overall","RMSE_overall","RMSEP_overall","SNR_CI_s","SNR_smooth_s","n_mean"
"ALL","Ca","Bayes",1,0.844412241767527,0.636884102731344,0.428801053115093,5546.07861545861,0.740687069612545,1,13757
"ALL","Ca","RF",2,0.830173052691545,0.673677785504348,0.406496238911912,4915.58130206669,0.836732188761176,0.820334348587098,13757
"ALL","Ca","OLS_weighted",3,0.6,0.60078407376705,0.449611220751241,5620.88386479327,1,0,14519
"ALL","Ca","PLS_LOO",4,0.552881998317059,0.605172814508826,0.447133012734933,5921.70892622602,0.805915698467802,0.173331448090944,13757
"ALL","Ca","PLS_kfold",5,0.552881998317059,0.605172814508826,0.447133012734933,5921.70892622602,0.805915698467802,0.173331448090944,13757
"ALL","Ca","OLS",6,0.473348755420152,0.605349695781694,0.447032844459699,5504.63271481712,0.787121534135248,0.00268958734750736,14519
"ALL","Ca","WLS",7,0.204992076673538,0.604685117514639,0.447409080513934,5446.04597912254,0,0.512480191683846,14519
"ALL","Ca","WLS_weighted",8,0.201088821335008,0.604732452698864,0.447382293228408,5447.03371534874,0.00566308940610476,0.494227419228363,14519
"ALL","Sr","OLS",1,0.628080550701667,0.605940022011523,0.388440903375382,59.7735590156883,0.663154685121714,0.575469349071596,14005
"ALL","Sr","RF",2,0.6,0.694520038625107,0.34200712565981,43.8791563053624,1,0,13757
"ALL","Sr","PLS_LOO",3,0.586229148369338,0.619560933054721,0.381668523678026,58.9814163562467,0.733913529074419,0.364702577311715,13757
"ALL","Sr","PLS_kfold",4,0.586229148369338,0.619560933054721,0.381668523678026,58.9814163562467,0.733913529074419,0.364702577311715,13757
"ALL","Sr","Bayes",5,0.582090230139881,0.635271572146413,0.373704733132646,56.5643915636821,0.760788145194715,0.31404335755763,13757
"ALL","Sr","OLS_weighted",6,0.4,0.588442221601662,0.396971381054182,68.563181097856,0,1,14005
"ALL","Sr","WLS_weighted",7,0.330986132745258,0.605197017350042,0.38880693583257,61.616501941787,0.0895578038247524,0.693128626126016,14005
"ALL","Sr","WLS",8,0.267258228519984,0.605899324973479,0.388460961218056,59.3656290640811,0.0791982323985836,0.549348222702084,14005
"ALL","Ti","RF",1,0.889950597570519,0.739729829501074,0.627892441456487,1631.97472441788,0.816584329284199,1,13757
"ALL","Ti","PLS_LOO",2,0.769782306828584,0.756227776634957,0.607666319730726,1919.97750377683,0.985781032588366,0.445784218188911,13757
"ALL","Ti","PLS_kfold",3,0.769782306828584,0.756227776634957,0.607666319730726,1919.97750377683,0.985781032588366,0.445784218188911,13757
"ALL","Ti","Bayes",4,0.765540352087097,0.757847910218222,0.605643649083077,2132.72586760655,1,0.413850880217742,13757
"ALL","Ti","OLS",5,0.614358506923568,0.729930592021033,0.639603384224678,2035.54425020404,0.919262770647259,0.157002111338032,14219
"ALL","Ti","OLS_weighted",6,0.542006454124426,0.718555763474536,0.652933928562262,2173.73266969499,0.903344090207377,0,14219
"ALL","Ti","WLS",7,0.30858907184031,0.728935134347202,0.640781067535794,1882.89538666468,0,0.771472679600775,14219
"ALL","Ti","WLS_weighted",8,0.287061369021783,0.72919658362992,0.640471967780676,1893.08238585334,0.018809767306703,0.689438771594404,14219
"ALL","Zr","RF",1,0.711883916054839,0.744758871788424,0.66394198898659,46.0449432203038,0.519806526758064,1,13757
"ALL","Zr","Bayes",2,0.679520745030715,0.7219222288162,0.693007515213175,84.3816359771264,0.935087433460112,0.296170712386619,13757
"ALL","Zr","PLS_LOO",3,0.662208839662399,0.72037835645274,0.69492862207945,77.8910261396823,0.856824502964999,0.370285344708498,13757
"ALL","Zr","PLS_kfold",4,0.662208839662399,0.72037835645274,0.69492862207945,77.8910261396823,0.856824502964999,0.370285344708498,13757
"ALL","Zr","OLS",5,0.616749924912217,0.608456680906178,0.822327315016661,148.16046066862,1,0.0418748122805434,14519
"ALL","Zr","WLS_weighted",6,0.448925508811614,0.608229412035276,0.822565937768544,162.575252795128,0.7409938656634,0.010822973533934,14519
