"Site","Element","Model","Rank_site","Robustness_score","R2_overall","RMSE_overall","RMSEP_overall","SNR_CI_s","SNR_smooth_s","n_mean"
"PB1","Ca","Bayes",1,0.848295610597957,0.636884102731344,0.428801053115093,5546.07861545861,0.747159350996595,1,947
"PB1","Ca","RF",2,0.781906371359692,0.67369543696228,0.406485244643095,4985.95489955459,0.700635785430753,0.903812250253099,947
"PB1","Ca","PLS_LOO",3,0.735248061254937,0.605172814508826,0.447133012734933,5921.70892622602,0.686868825759716,0.80781691449777,947
"PB1","Ca","PLS_kfold",4,0.735248061254937,0.605172814508826,0.447133012734933,5921.70892622602,0.686868825759716,0.80781691449777,947
"PB1","Ca","OLS_weighted",5,0.6,0.60078407376705,0.449611220751241,5620.88386479327,1,0,970
"PB1","Ca","OLS",6,0.498902608172033,0.605349695781694,0.447032844459699,5504.63271481712,0.812491924675323,0.0285186334170986,970
"PB1","Ca","WLS_weighted",7,0.0655916806439982,0.604732452698864,0.447382293228408,5447.03371534874,0.00593467690114087,0.155077186258284,970
"PB1","Ca","WLS",8,0.063951417965293,0.604685117514639,0.447409080513934,5446.04597912254,0,0.159878544913233,970
"PB1","Sr","OLS",1,0.712497852963348,0.605940022011523,0.388440903375382,59.7735590156883,0.724477125158232,0.694528944671022,948
"PB1","Sr","Bayes",2,0.603826534091665,0.635271572146413,0.373704733132646,56.5643915636821,0.955263214952934,0.0766715127997609,947
"PB1","Sr","RF",3,0.6,0.687903628988896,0.345691061755634,44.4622459672722,1,0,947
"PB1","Sr","PLS_LOO",4,0.558056587508785,0.619560933054721,0.381668523678026,58.9814163562467,0.818280334637047,0.167720966816392,947
"PB1","Sr","PLS_kfold",5,0.558056587508785,0.619560933054721,0.381668523678026,58.9814163562467,0.818280334637047,0.167720966816392,947
"PB1","Sr","OLS_weighted",6,0.4,0.588442221601662,0.396971381054182,68.563181097856,0,1,948
"PB1","Sr","WLS_weighted",7,0.369278707355245,0.605197017350042,0.38880693583257,61.616501941787,0.0996330226956721,0.773747234344604,948
"PB1","Sr","WLS",8,0.322620402043039,0.605899324973479,0.388460961218056,59.3656290640811,0.0866062015002003,0.676641702857296,948
"PB1","Ti","RF",1,0.872324617724985,0.742787031556751,0.624193853128855,1634.80229641458,0.787207696208309,1,947
"PB1","Ti","PLS_LOO",2,0.675826322299948,0.756227776634957,0.607666319730726,1919.97750377683,0.940538873364696,0.278757495702825,947
"PB1","Ti","PLS_kfold",3,0.675826322299948,0.756227776634957,0.607666319730726,1919.97750377683,0.940538873364696,0.278757495702825,947
"PB1","Ti","OLS",4,0.656186606461639,0.729930592021033,0.639603384224678,2035.54425020404,0.846928105405201,0.370074358046295,969
"PB1","Ti","Bayes",5,0.6,0.757847910218222,0.605643649083077,2132.72586760655,1,0,947
"PB1","Ti","OLS_weighted",6,0.569741362677172,0.718555763474536,0.652933928562262,2173.73266969499,0.763737109527156,0.278747742402197,969
"PB1","Ti","WLS",7,0.223170062747618,0.728935134347202,0.640781067535794,1882.89538666468,0,0.557925156869044,969
"PB1","Ti","WLS_weighted",8,0.222730506407635,0.72919658362992,0.640471967780676,1893.08238585334,0.016513639633561,0.532055806568746,969
"PB1","Zr","RF",1,0.784103237843501,0.743204375842857,0.665960724096371,45.4053867998287,0.640172063072502,1,947
"PB1","Zr","Bayes",2,0.650509112911728,0.7219222288162,0.693007515213175,84.3816359771264,1,0.126272782279321,947
"PB1","Zr","PLS_LOO",3,0.623774522951813,0.72037835645274,0.69492862207945,77.8910261396823,0.928107471460997,0.167275100188037,947
"PB1","Zr","PLS_kfold",4,0.623774522951813,0.72037835645274,0.69492862207945,77.8910261396823,0.928107471460997,0.167275100188037,947
"PB1","Zr","OLS",5,0.564004621050433,0.608456680906178,0.822327315016661,148.16046066862,0.930484835694725,0.0142842990839958,970
"PB1","Zr","WLS_weighted",6,0.402856488302952,0.608229412035276,0.822565937768544,162.575252795128,0.671008210837613,0.000628904500960033,970
"PB1","Zr","WLS",7,0.266420102966914,0.608323185716187,0.822467487738816,159.077231156446,0.441553072318118,0.00372064894010842,970
"PB1","Zr","OLS_weighted",8,0,0.401191970178938,1.01694769214115,153.784821913486,0,0,970
