"Site","Element","Model","Rank_site","Robustness_score","R2_overall","RMSE_overall","RMSEP_overall","SNR_CI_s","SNR_smooth_s","n_mean"
"KER3","Ca","OLS_weighted",1,0.988650845100944,0.60078407376705,0.449611220751241,5620.88386479327,1,0.971627112752361,2000
"KER3","Ca","OLS",2,0.846192481579006,0.605349695781694,0.447032844459699,5504.63271481712,0.792291507834117,0.92704394219634,2000
"KER3","Ca","PLS_LOO",3,0.760632498111335,0.605172814508826,0.447133012734933,5921.70892622602,0.837095524308569,0.645937958815484,1837
"KER3","Ca","PLS_kfold",4,0.760632498111335,0.605172814508826,0.447133012734933,5921.70892622602,0.837095524308569,0.645937958815484,1837
"KER3","Ca","Bayes",5,0.594460987386642,0.636884102731344,0.428801053115093,5546.07861545861,0.840710085229549,0.225087340622281,1837
"KER3","Ca","RF",6,0.405459601776341,0.67369543696228,0.406485244643095,4985.95489955459,0.675766002960568,0,1837
"KER3","Ca","WLS_weighted",7,0.402408619710641,0.604732452698864,0.447382293228408,5447.03371534874,0.00569391551058415,0.997480676010726,2000
"KER3","Ca","WLS",8,0.4,0.604685117514639,0.447409080513934,5446.04597912254,0,1,2000
"KER3","Sr","PLS_LOO",1,0.946185870093619,0.619560933054721,0.381668523678026,58.9814163562467,0.910309783489366,1,1837
"KER3","Sr","PLS_kfold",2,0.946185870093619,0.619560933054721,0.381668523678026,58.9814163562467,0.910309783489366,1,1837
"KER3","Sr","Bayes",3,0.927383671565145,0.635271572146413,0.373704733132646,56.5643915636821,1,0.818459178912863,1837
"KER3","Sr","RF",4,0.719647199146972,0.687903628988896,0.345691061755634,44.4622459672722,0.904844165810328,0.441851749151938,1837
"KER3","Sr","OLS",5,0.584596236682407,0.605940022011523,0.388440903375382,59.7735590156883,0.968146741230707,0.00927047985995764,1846
"KER3","Sr","OLS_weighted",6,0.10399030648715,0.588442221601662,0.396971381054182,68.563181097856,0,0.259975766217874,1846
"KER3","Sr","WLS_weighted",7,0.0994436464003926,0.605197017350042,0.38880693583257,61.616501941787,0.131143991367748,0.0518931289493589,1846
"KER3","Sr","WLS",8,0.0693031338712478,0.605899324973479,0.388460961218056,59.3656290640811,0.115505223118746,0,1846
"KER3","Ti","OLS_weighted",1,0.817922355156054,0.718555763474536,0.652933928562262,2173.73266969499,0.727076971695812,0.954190430346416,1984
"KER3","Ti","OLS",2,0.801080949542684,0.729930592021033,0.639603384224678,2035.54425020404,0.743170069032022,0.887947270308679,1984
"KER3","Ti","RF",3,0.741224703652289,0.742787031556751,0.624193853128855,1634.80229641458,0.815599999771203,0.629661759473919,1837
"KER3","Ti","PLS_LOO",4,0.639265658141706,0.756227776634957,0.607666319730726,1919.97750377683,0.912323476898689,0.229678930006231,1837
"KER3","Ti","PLS_kfold",5,0.639265658141706,0.756227776634957,0.607666319730726,1919.97750377683,0.912323476898689,0.229678930006231,1837
"KER3","Ti","Bayes",6,0.6,0.757847910218222,0.605643649083077,2132.72586760655,1,0,1837
"KER3","Ti","WLS_weighted",7,0.403404843902111,0.72919658362992,0.640471967780676,1893.08238585334,0.0148935923293629,0.986171721261233,1984
"KER3","Ti","WLS",8,0.4,0.728935134347202,0.640781067535794,1882.89538666468,0,1,1984
"KER3","Zr","OLS",1,0.627667480037275,0.608456680906178,0.822327315016661,148.16046066862,1,0.0691687000931873,2000
"KER3","Zr","RF",2,0.567075977229249,0.743204375842857,0.665960724096371,45.4053867998287,0.278459962048748,1,1837
"KER3","Zr","Bayes",3,0.556280630753596,0.7219222288162,0.693007515213175,84.3816359771264,0.854036720236172,0.109646496529732,1837
"KER3","Zr","PLS_LOO",4,0.530089423239161,0.72037835645274,0.69492862207945,77.8910261396823,0.753267451410815,0.195322380981681,1837
"KER3","Zr","PLS_kfold",5,0.530089423239161,0.72037835645274,0.69492862207945,77.8910261396823,0.753267451410815,0.195322380981681,1837
"KER3","Zr","WLS_weighted",6,0.455750117742147,0.608229412035276,0.822565937768544,162.575252795128,0.73443960365491,0.0377158888730017,2000
"KER3","Zr","WLS",7,0.307347864543074,0.608323185716187,0.822467487738816,159.077231156446,0.482391287627857,0.0447827299158986,2000
"KER3","Zr","OLS_weighted",8,0,0.401191970178938,1.01694769214115,153.784821913486,0,0,2000
