Location,Site,Section,sample,top,bottom,mp,water_content_pc,water_content_err,dry_mass_pc,dry_mass_err,density_gcm3,density_gcm3_err,P_ICP,P_ICP_sd,K_ICP,K_ICP_sd,Ca_ICP,Ca_ICP_sd,Ti_ICP,Ti_ICP_sd,Mn_ICP,Mn_ICP_sd,Fe_ICP,Fe_ICP_sd,Co_ICP,Co_ICP_sd,Ni_ICP,Ni_ICP_sd,Cu_ICP,Cu_ICP_sd,Zn_ICP,Zn_ICP_sd,As_ICP,As_ICP_sd,Rb_ICP,Rb_ICP_sd,Sr_ICP,Sr_ICP_sd,Zr_ICP,Zr_ICP_sd,Pb_ICP,Pb_ICP_sd,Th_ICP,Th_ICP_sd
Isla Hermite,HER42PB,HER42PB_1A,3,2.5,3.7,3.1,79.47800322,3.973900161,20.52199678,2.052199678,0.245198178,0.024519818,1827.041566,37.63705626,5443.67845,979.862121,15948.18938,2073.264619,1607.114721,224.9960609,407.4375349,48.89250419,14682.28264,2642.810875,4.851245271,0.339587169,4.965819612,2.68154259,23.13004442,3.238206219,42.19689147,3.797720232,2.909070465,0.066908621,17.13305574,2.741288918,204.6688961,4.093377922,8.791484806,0.43957424,5.273214186,0.114428748,1.358963465,0.018889592
Isla Hermite,HER42PB,HER42PB_1A,5,5.3,6.5,5.9,71.58035749,3.579017875,28.41964251,2.841964251,0.360788755,0.036078875,2039.850817,36.30934454,5975.780316,1075.640457,16588.68048,2156.528462,1837.980819,257.3173147,366.7929674,44.01515609,16189.75967,2914.156741,5.402833637,0.378198355,5.507249153,2.973914543,28.86151963,4.040612748,35.42095591,3.187886032,3.290427423,0.090157711,22.17089462,3.547343139,214.4801797,4.289603594,9.110923126,0.455546156,5.90081533,0.105034513,2.374515933,0.022795353
Isla Hermite,HER42PB,HER42PB_1A,7,8.1,9.3,8.7,29.61002281,1.480501141,70.38997719,7.038997719,1.012276019,0.101227602,1919.062535,23.98828169,5333.453521,960.0216338,15380.19155,1999.424902,1832.527324,256.5538254,315.5650704,37.86780845,16934.94085,3048.289353,4.923853521,0.344669746,4.900777465,2.646419831,28.38931831,3.974504563,31.93149296,2.873834366,3.519098592,0.078475899,20.66172394,3.30587583,191.8197183,3.836394366,8.621791549,0.431089577,5.546907042,0.017195412,2.135112113,0.015372807
Isla Hermite,HER42PB,HER42PB_1A,9,10.9,12.1,11.5,75.74731616,3.787365808,24.25268384,2.425268384,0.292144605,0.02921446,1818.155266,21.27241661,5207.184,937.29312,15558.14641,2022.559033,1580.648497,221.2907896,291.4015196,34.96818235,17138.00234,3084.840421,4.715790685,0.330105348,5.241528694,2.830425495,33.07658228,4.630721519,27.71352621,2.494217359,3.519010192,0.08621575,18.82353425,3.01176548,198.4859127,3.969718254,8.287638868,0.414381943,5.55327284,0.067749929,2.013655832,0.010672376
Isla Hermite,HER42PB,HER42PB_1A,13,16.3,17.5,16.9,71.91050025,3.595525013,28.08949975,2.808949975,0.345137645,0.034513765,1537.778135,13.37866977,5837.940234,1050.829242,17669.83951,2297.079136,1819.746676,254.7645346,318.8457154,38.26148585,13667.24784,2460.104611,5.347190156,0.374303311,6.351383957,3.429747337,33.89863255,4.745808557,28.93439766,2.604095789,3.526025127,0.07157831,20.45548446,3.272877514,217.6036906,4.352073812,10.6404829,0.532024145,6.561300175,0.142380214,1.938320973,0.021709195
Isla Hermite,HER42PB,HER42PB_1A,16,20.5,21.6,21.1,67.13543578,3.356771789,32.86456422,3.286456422,0.603070633,0.060307063,1081.37795,27.68327553,6956.874444,1252.2374,21182.64262,2753.743541,2092.551562,292.9572187,343.7990278,41.25588334,11986.74089,2157.61336,4.922970952,0.344607967,6.39350629,3.452493397,28.97734663,4.056828528,27.00122448,2.430110203,2.560291583,0.019714245,22.53472619,3.60555619,287.7800097,5.755600194,20.13391113,1.006695557,7.959380853,0.217291097,8.55452875,0.111208874
Isla Hermite,HER42PB,HER42PB_1A,20,26.1,27.3,26.7,68.52043629,3.426021815,31.47956371,3.147956371,0.434378762,0.043437876,1396.766862,19.55473607,5864.826617,1055.668791,16828.03623,2187.64471,2256.103454,315.8544836,382.915235,45.9498282,14179.20706,2552.257271,6.646599115,0.465261938,7.84225117,4.234815632,41.9704529,5.875863406,36.91192497,3.322073247,3.985506849,0.07572463,22.63461313,3.621538101,192.0094569,3.840189138,11.10116946,0.555058473,7.31800373,0.071716437,2.247212708,0.018651865
Isla Hermite,HER42PB,HER42PB_1A,25,33.1,34.1,33.6,59.52633489,2.976316744,40.47366511,4.047366511,0.771593844,0.077159384,1620.284407,23.17006702,8871.994311,1596.958976,23025.53265,2993.319245,3140.602681,439.6843753,585.3572459,70.24286951,35487.97724,6387.835903,9.632847657,0.674299336,11.08791026,5.98747154,61.64578206,8.630409488,47.90043877,4.311039489,6.892109508,0.119922705,34.84930473,5.575888757,237.2807242,4.745614484,16.78597985,0.839298993,10.39092417,0.078971024,3.601557628,0.046460093
Isla Hermite,HER42PB,HER42PB_1A,28,37.1,38.2,37.7,63.18099355,3.159049677,36.81900645,3.681900645,0.587799686,0.058779969,1400.404816,30.80890594,7746.307975,1394.335436,19806.58483,2574.856028,2780.927179,389.3298051,509.8802514,61.18563017,25321.34917,4557.842851,8.041928644,0.562935005,8.769207812,4.735372218,43.74139458,6.123795241,42.59030524,3.833127472,4.682840687,0.048701543,30.00680597,4.801088955,201.9638553,4.039277106,18.09041528,0.904520764,8.055009204,0.107937123,2.572946266,0.042196319
Isla Hermite,HER42PB,HER42PB_1A,31,41.2,42.3,41.7,58.6261659,2.931308295,41.3738341,4.13738341,0.743284189,0.074328419,1323.400898,31.62928146,8706.157013,1567.108262,23961.57686,3115.004992,2482.596033,347.5634446,510.7720501,61.29264601,30348.25974,5462.686753,8.722415009,0.610569051,8.979833284,4.849109973,34.73791874,4.863308624,44.27594323,3.984834891,4.573916289,0.065864395,30.61922635,4.899076216,256.1176349,5.122352698,12.6893661,0.634468305,7.76861256,0.122744078,2.073978393,0.01825101
Isla Hermite,HER42PB,HER42PB_1B,40,43.1,44.2,43.7,73.26248768,3.663124384,26.73751232,2.673751232,0.377380815,0.037738081,1598.916078,36.45528657,6598.380417,1187.708475,19881.77207,2584.630369,2488.325779,348.3656091,425.6460716,51.07752859,27170.31131,4890.656036,6.251857157,0.437630001,8.651530736,4.671826597,40.88974473,5.724564262,38.26194334,3.443574901,3.722237356,0.115017134,22.88497366,3.661595786,217.7898692,4.355797384,15.7899099,0.789495495,7.571533241,0.196102711,2.209085785,0.028276298
Isla Hermite,HER42PB,HER42PB_1B,48,54,55.1,54.5,75.70263466,3.785131733,24.29736534,2.429736534,0.371069084,0.037106908,1482.982594,20.02026502,4618.995032,831.4191058,16479.65741,2142.355463,1575.735639,220.6029895,285.4554922,34.25465906,13872.977,2497.13586,5.871694204,0.411018594,11.09571628,5.991686791,27.8525667,3.899359338,30.62449678,2.75620471,3.358299908,0.053732799,17.215285,2.7544456,199.578966,3.99157932,9.92564195,0.496282098,5.775742778,0.041007774,1.748714738,0.016437919
Isla Hermite,HER42PB,HER42PB_1B,50,56.7,57.8,57.2,68.98881969,3.449440984,31.01118031,3.101118031,0.530621874,0.053062187,746.1273884,12.31110191,3415.579205,614.8042569,10723.74092,1394.08632,1161.29693,162.5815702,213.0614752,25.56737702,10017.06936,1803.072485,4.139917554,0.289794229,5.323592416,2.874739905,16.00316636,2.24044329,21.4504263,1.930538367,1.692478385,0.017094032,12.67297664,2.027676262,119.2508257,2.385016514,6.298210275,0.314910514,3.645247462,0.013122891,1.178669272,0.009782955
Isla Hermite,HER42PB,HER42PB_1B,56,64.7,65.8,65.2,80.10647259,4.005323629,19.89352741,1.989352741,0.315063631,0.031506363,1306.437254,29.00290704,4921.529077,885.8752339,16718.31854,2173.38141,1911.570392,267.6198549,318.8247,38.258964,18126.438,3262.75884,5.075843538,0.355309048,8.253068077,4.456656762,36.18123,5.0653722,34.30741154,3.087667039,3.075266769,0.043976315,16.21679654,2.594687446,197.3571738,3.947143476,10.43275985,0.521637993,5.613188538,0.092056292,1.741273362,0.040223415
Isla Hermite,HER42PB,HER42PB_1B,60,69.9,70.9,70.4,69.14989162,3.457494581,30.85010838,3.085010838,0.547574206,0.054757421,1259.896121,32.63130953,7273.786524,1309.281574,20223.29166,2629.027916,2382.409952,333.5373933,443.5927218,53.23112662,18736.05749,3372.490348,6.595896427,0.46171275,10.60653138,5.727526945,35.46679751,4.965351651,37.68347236,3.391512512,3.361097671,0.05747477,25.92994062,4.148790499,220.559147,4.41118294,10.79469099,0.53973455,6.907777422,0.069077774,2.021298155,0.025266227
Isla Hermite,HER42PB,HER42PB_1B,63,73.7,74.8,74.3,72.9454191,3.647270955,27.0545809,2.70545809,0.402178631,0.040217863,1344.416439,10.48644822,5415.67046,974.8206828,17750.4328,2307.556264,1894.366875,265.2113625,330.5850441,39.67020529,13972.31801,2515.017242,6.245626149,0.43719383,8.570619866,4.628134728,35.40585383,4.956819536,37.52964617,3.377668155,3.85635977,0.057074125,20.04468741,3.207149986,211.7085625,4.23417125,11.40700042,0.570350021,6.150614387,0.077497741,1.940196079,0.02987902
Isla Hermite,HER42PB,HER42PB_1B,69,81.5,82.5,82,56.09126618,2.804563309,43.90873382,4.390873382,0.795053383,0.079505338,1516.768292,13.34756097,8945.422022,1610.175964,26370.11281,3428.114665,3316.178876,464.2650426,654.0897303,78.49076764,29131.62831,5243.693096,11.02836,0.7719852,12.14358742,6.557537207,49.15261573,6.881366202,53.75514157,4.837962741,4.670383596,0.06538537,36.0531191,5.768499056,255.3811775,5.10762355,18.6667827,0.933339135,8.703494382,0.082683197,3.050648539,0.038438172
Isla Hermite,HER42PB,HER42PB_1C,80,86.5,87.8,87.2,48.46093102,2.423046551,51.53906898,5.153906898,0.698967031,0.069896703,1197.776996,14.97221245,8976.759109,1615.81664,26667.54291,3466.780578,2867.600154,401.4640216,567.7982591,68.13579109,22528.01628,4055.04293,9.134399757,0.639407983,7.820727692,4.223192954,39.76047449,5.566466429,44.16857409,3.975171668,3.406789555,0.121281708,32.92937976,5.268700762,253.6262866,5.072525732,14.95542664,0.747771332,8.387066316,0.132515648,2.620337879,0.018080331
Isla Hermite,HER42PB,HER42PB_1C,86,94.8,96,95.4,77.24749825,3.862374912,22.75250175,2.275250175,0.269401567,0.026940157,1488.067168,33.33270455,5721.295663,1029.833219,19173.11646,2492.50514,1937.934236,271.310793,360.8953237,43.30743884,16524.5867,2974.425606,5.668266146,0.39677863,7.733471223,4.17607446,34.52810771,4.833935079,29.23988643,2.631589779,3.435134265,0.059084309,20.28673632,3.245877811,218.7762183,4.375524366,9.993117862,0.499655893,6.148477883,0.045498736,2.101736522,0.025010665
Isla Hermite,HER42PB,HER42PB_1C,90,100.2,101.4,100.8,70.96204823,3.548102411,29.03795177,2.903795177,0.390327941,0.039032794,1561.45067,15.30221656,6594.697268,1187.045508,20274.4736,2635.681568,2422.968415,339.2155781,431.4287933,51.7714552,17616.22911,3170.92124,7.144032067,0.500082245,7.374484715,3.982221746,40.65077512,5.691108517,32.82610384,2.954349346,3.738156314,0.027288541,24.33687143,3.893899429,219.7339196,4.394678392,20.92027695,1.046013848,7.387883124,0.098997634,2.602507106,0.04762588
Isla Hermite,HER42PB,HER42PB_1C,91,101.6,103.1,102.3,76.82229633,3.841114817,23.17770367,2.317770367,0.224223708,0.022422371,1436.002402,12.92402162,5009.073815,901.6332867,15679.13954,2038.28814,1886.233337,264.0726672,299.9841868,35.99810242,15409.2047,2773.656846,5.39869674,0.377908772,7.652397974,4.132294906,44.99762802,6.299667923,66.23589727,5.961230754,3.947160352,0.053286665,17.07719827,2.732351723,188.3177471,3.766354942,7.331532035,0.366576602,6.671974273,0.028022292,1.678943755,0.041302016
Isla Hermite,HER42PB,HER42PB_1C,97,109.8,111,110.4,63.82257046,3.191128523,36.17742954,3.617742954,0.599604911,0.059960491,1212.3254,27.76225166,7175.3422,1291.561596,23770.8588,3090.211644,2339.38198,327.5134772,436.78518,52.4142216,17175.5766,3091.603788,7.2536503,0.507755521,6.6532882,3.592775628,28.9478943,4.052705202,36.659792,3.29938128,3.3295444,0.122194279,24.826568,3.97225088,254.965373,5.09930746,15.9139461,0.795697305,6.8534089,0.058253976,3.0279132,0.035123793
Isla Hermite,HER42PB,HER42PB_1C,104,119.2,120.3,119.8,76.8334819,3.841674095,23.1665181,2.31665181,0.298078963,0.029807896,1355.713487,19.38670286,6260.84885,1126.952793,19931.45628,2591.089316,1783.788743,249.730424,323.6804956,38.84165947,29105.71327,5239.028389,7.23671292,0.506569904,8.016836814,4.32909188,31.06311504,4.348836106,39.88560708,3.589704637,5.055202832,0.167327214,19.90308814,3.184494102,231.5407717,4.630815434,9.931686372,0.496584319,6.34311646,0.072945839,1.546347398,0.026133271
Isla Hermite,HER42PB,HER42PB_1D,118,127.3,128.4,127.8,75.97706345,3.798853173,24.02293655,2.402293655,0.402971752,0.040297175,1520.525972,43.79114799,5656.960644,1018.252916,21097.44306,2742.667598,2617.070294,366.3898412,421.6584628,50.59901554,12943.05626,2329.750127,5.413025996,0.37891182,7.99757167,4.318688702,27.88986141,3.904580597,25.82803284,2.324522956,3.142110584,0.038962171,18.26896274,2.923034038,237.9234012,4.758468024,19.67739493,0.983869747,5.72084829,0.146453716,2.048179847,0.076397108
Isla Hermite,HER42PB,HER42PB_1D,121,130.9,132.2,131.6,84.55037578,4.227518789,15.44962422,1.544962422,0.187676057,0.018767606,1357.682984,12.21914686,3648.143898,656.6659016,15108.07419,1964.049645,1282.645911,179.5704275,195.5844371,23.47013245,7988.703067,1437.966552,3.181449904,0.222701493,6.481861022,3.500204952,25.96709783,3.635393696,17.02060447,1.531854402,2.950543137,0.048093853,10.8681745,1.73890792,200.4648971,4.009297942,7.802635527,0.390131776,3.699998786,0.06104998,1.325044907,0.019080647
Isla Hermite,HER42PB,HER42PB_1D,131,143.2,144.4,143.8,80.12840061,4.006420031,19.87159939,1.987159939,0.317513884,0.031751388,1496.398904,23.64310268,5049.87496,908.9774928,16222.83208,2108.96817,1694.217096,237.1903934,259.3390696,31.12068835,12805.9724,2305.075032,4.0172756,0.281209292,6.76410592,3.652617197,22.2037868,3.108530152,20.90723648,1.881651283,2.573376832,0.031395197,15.70363184,2.512581094,201.5309088,4.030618176,6.75540424,0.337770212,4.60898984,0.074204736,1.425915296,0.010409182
Isla Hermite,HER42PB,HER42PB_1D,137,150.7,151.9,151.3,84.05430901,4.202715451,15.94569099,1.594569099,0.223349145,0.022334914,1122.527929,11.44978487,3309.7982,595.763676,14715.29986,1912.988982,1150.276453,161.0387034,172.5557713,20.70669256,6997.205183,1259.496933,2.856953727,0.199986761,5.489630722,2.96440059,20.00182283,2.800255196,15.64215778,1.4077942,2.14979546,0.020638036,9.202783759,1.472445401,193.3528611,3.867057222,5.180678081,0.259033904,3.541512681,0.037894186,0.969481945,0.01289411
Isla Hermite,HER42PB,HER42PB_1D,144,159.2,160.3,159.8,69.43733975,3.471866988,30.56266025,3.056266025,0.509389576,0.050938958,1280.002013,30.3360477,5997.873908,1079.617303,19331.44723,2513.08814,2133.687133,298.7161986,334.5877951,40.15053541,14513.69839,2612.46571,5.301363572,0.37109545,7.080750354,3.823605191,29.54255159,4.135957223,29.06945023,2.616250521,2.539765801,0.023873799,21.18442756,3.38950841,222.8833073,4.457666146,11.73028539,0.58651427,6.344814905,0.065986075,2.638854252,0.051457658
Isla Hermite,HER42PB,HER42PB_1D,147,162.9,164.1,163.5,79.71111846,3.985555923,20.28888154,2.028888154,0.343529575,0.034352957,1401.647809,2.522966056,4295.763522,773.237434,16304.49768,2119.584698,1670.874143,233.92238,264.1328625,31.6959435,10760.96847,1936.974325,4.125981149,0.28881868,7.101215107,3.834656158,30.53387748,4.274742847,22.37893368,2.014104031,2.464539361,0.013062059,15.49870515,2.479792824,201.1247375,4.02249475,9.839292734,0.491964637,5.338712382,0.032566146,2.093713099,0.022193359
Isla Hermite,HER42PB,HER42PB_1E,158,169.3,170.5,169.9,85.36560999,4.268280499,14.63439001,1.463439001,0.21879694,0.021879694,447.033557,5.051479195,1024.567593,184.4221667,5436.594439,706.7572771,410.3823586,57.4535302,66.61077661,7.993293193,3223.639501,580.2551102,1.260301438,0.088221101,2.834914669,1.530853921,7.835581975,1.096981477,7.99662512,0.719696261,0.9343279,0.008595817,4.023302013,0.643728322,74.85729626,1.497145925,2.834914669,0.141745733,1.326106999,0.025726476,0.722195206,0.013793928
Isla Hermite,HER42PB,HER42PB_1E,162,175.6,176.8,176.2,83.11089897,4.155544949,16.88910103,1.688910103,0.254796532,0.025479653,1183.99773,17.04956731,3756.973168,676.2551702,14110.24974,1834.332466,1400.001342,196.0001879,211.0280805,25.32336966,11941.27554,2149.429597,5.526713106,0.386869917,27.22539319,14.70171232,42.45588235,5.943823529,30.50864809,2.745778328,2.30066192,0.062578004,12.28390196,1.965424314,180.6386068,3.612772136,7.531822497,0.376591125,4.644822497,0.113333669,1.256992054,0.022877255
Isla Hermite,HER42PB,HER42PB_1E,166,181.9,183.1,182.5,84.81309131,4.240654565,15.18690869,1.518690869,0.195658501,0.01956585,836.8221931,3.59833543,3191.150345,574.4070621,13479.76097,1752.368926,914.3215586,128.0050182,153.4316483,18.4117978,10687.50441,1923.750794,2.678001972,0.187460138,5.932120552,3.203345098,20.43760841,2.861265177,16.5256,1.487304,2.16000989,0.07214433,7.299756414,1.167961026,178.3340179,3.566680358,6.704264966,0.335213248,2.470007352,0.038038113,0.898650731,0.025341951
Isla Hermite,HER42PB,HER42PB_1E,174,194.9,196.1,195.5,84.28234186,4.214117093,15.71765814,1.571765814,0.181470174,0.018147017,833.2937056,28.91529158,3125.582355,562.6048239,14253.70812,1852.982056,982.7018051,137.5782527,143.7066162,17.24479394,6996.743289,1259.413792,4.257107492,0.297997524,4.605044162,2.486723847,16.48459618,2.307843465,37.24969056,3.35247215,2.086742869,0.046117017,8.233526579,1.317364253,188.1781856,3.763563712,5.05239131,0.252619566,3.143125381,0.092722199,0.756981545,0.007645514
Isla Hermite,HER42PB,HER42PB_1E,179,202.5,203.6,203,86.18426726,4.309213363,13.81573274,1.381573274,0.202157788,0.020215779,859.0633449,14.60407686,2826.666898,508.8000416,11992.59067,1559.036787,1202.301468,168.3222055,150.7094709,18.08513651,9342.936185,1681.728513,3.122609518,0.218582666,6.051611715,3.267870326,25.87423565,3.622392991,33.9089395,3.051804555,2.017664875,0.042774495,7.965558382,1.274489341,182.2674644,3.645349288,3.847254066,0.192362703,4.176386513,0.063481075,0.952548023,0.024099465
Isla Hermite,HER42PB,HER42PB_1F,184,201.4,202.5,202,70.75583485,3.537791742,29.24416515,2.924416515,0.401041202,0.04010412,1203.95387,48.03775942,5457.248831,982.3047896,19005.72883,2470.744748,2108.785455,295.2299637,365.7716364,43.89259637,13791.08364,2482.395055,5.441252987,0.380887709,7.643347532,4.127407667,26.97965714,3.777152,33.08473766,2.977626389,2.19542961,0.055983455,19.53359169,3.12537467,225.088187,4.50176374,10.66656208,0.533328104,5.609209351,0.103770373,1.478016,0.004434048
Isla Hermite,HER42PB,HER42PB_1F,189,208.1,209.3,208.7,85.34301771,4.267150886,14.65698229,1.465698229,0.190791821,0.019079182,648.6931151,21.08252624,2756.113305,496.1003949,10921.53411,1419.799434,775.5257867,108.5736101,131.1007878,15.73209454,11345.31869,2042.157364,2.424955924,0.169746915,6.281092925,3.39179018,32.78276452,4.589587033,17.72327666,1.595094899,1.772024963,0.082399161,7.558500739,1.209360118,150.0197423,3.000394846,6.063146568,0.303157328,2.604761668,0.073714755,0.787633918,0.020242192
Isla Hermite,HER42PB,HER42PB_1F,191,210.9,212.2,211.5,81.08934056,4.054467028,18.91065944,1.891065944,0.243991857,0.024399186,719.2964267,16.04031032,2828.534907,509.1362833,13096.11662,1702.495161,993.0986057,139.0338048,174.0963235,20.89155882,8584.603441,1545.228619,2.969961652,0.207897316,7.062851662,3.813939897,17.54257349,2.455960289,19.13786718,1.722408046,1.866833038,0.080647187,7.439046804,1.190247489,166.9684155,3.33936831,6.36986061,0.318493031,2.49335352,0.020196164,2.743961713,0.017286959
