"Location","Site","Section","sample","min_depth","max_depth","midpoint","Zn","Zn_sd","Zn_ICP","Zn_ICP_sd","fit","lwr","upr"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-8.47150784220028,-10.7757613989935,3.13148340772836,-2.85053997187056,3.74513687974946,2.44733991651544,5.04293384298347
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,-12.3984445381776,-14.7010296311717,2.52650241766842,-1.78858731782453,2.73117927768406,1.42967144499389,4.03268711037423
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,-9.18131569293557,-11.4833666627287,2.6352276865988,-3.13178283662553,3.56186041720908,2.26414740961098,4.85957342480717
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,-6.10655939916968,-8.4091462873331,4.42020843695187,0.185828427196308,4.35578014648712,3.05529992740931,5.65626036556492
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,-6.25431404928425,-8.55690122329,4.50048585044673,-0.1875328838011,4.31762904746949,3.01742451135304,5.61783358358594
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,-7.75431241377429,-10.0566387320303,4.42273332782719,-0.391390880337621,3.93032085726659,2.63210046197437,5.22854125255881
"Bird Island","BI10","BI10.2",45,44,45,44.5,-5.07876264739502,-7.38134774038906,4.14889549601093,-1.14427411693686,4.62116316906234,3.31836853425742,5.92395780386726
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,-9.53468642879955,-11.8372715217936,5.03855590993543,-0.0910727765916063,3.47061806427179,2.17282252457334,4.76841360397024
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,-8.15569390336204,-10.4586134351987,4.03820854355804,0.413134124549874,3.82668185205606,2.52874035769802,5.1246233464141
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,-4.38464477902467,-6.68722955117986,4.69189223495974,-0.299200437521624,4.80038838806944,3.49563957768422,6.10513719845466
"Bird Island","BI10","BI10.2",67,70.1,71.2,70.6,-5.87243357933178,-8.17501938255033,5.56695263135749,0.901039061796975,4.41623277744183,3.115286326918,5.71717922796565
"Bird Island","BI10","BI10.2",71,74.7,75.8,75.2,-8.32329721078114,-10.6250342076178,4.94495839155949,-0.707505576733216,3.78340571575802,2.48554914223921,5.08126228927682
"Bird Island","BI10","BI10.2",81,86.5,87.5,87,-6.32976533450965,-8.63235154955417,4.21238708406088,-1.97500045576803,4.29814709240811,2.99807779372735,5.59821639108888
"Bird Island","BI10","BI10.3",88,84.8,85.8,85.3,-7.00704315935854,-9.31016070725839,4.17491914288766,-1.24976198296028,4.12327006932819,2.82424678518486,5.42229335347151
"Bird Island","BI10","BI10.3",95,93,94,93.5,-8.92446242598228,-11.2277465227366,4.27628832446624,-0.255802626476715,3.62818140550242,2.33047651889977,4.92588629210506
"Bird Island","BI10","BI10.3",98,96.3,97.3,96.8,-8.06592013931785,-10.3687026650501,3.73286878747651,-1.40987379582273,3.84986195338336,2.5518673300111,5.14785657675561
"Bird Island","BI10","BI10.3",104,103.2,104.2,103.7,-7.47097655889917,-9.77421521683199,3.82272003609075,-1.36731272957204,4.00347980181556,2.70499839854776,5.30196120508337
"Bird Island","BI10","BI10.3",114,114.9,115.9,115.4,-10.2181982973758,-12.5207833903699,3.5780087046861,-2.08413738189983,3.29413137530765,1.99594173301354,4.59232101760176
"Bird Island","BI10","BI10.3",120,121.8,122.7,122.3,-6.9737316333066,-9.27648017448073,4.46623122438134,0.0359373557529471,4.1318712966185,2.83280363686599,5.430938956371
"Bird Island","BI10","BI10.4",135,129.4,130.4,129.9,-6.07400824632189,-8.37659247047941,4.83744487171557,0.434877126114647,4.36418504105031,3.06364215726231,5.6647279248383
"Bird Island","BI10","BI10.4",145,141,142,141.5,-5.40069500208613,-7.70328075976144,3.61081768221592,-1.21852520202955,4.53803838665262,3.2360431971459,5.84003357615934
"Bird Island","BI10","BI10.4",155,152.7,153.8,153.2,-4.81173246948822,-7.11431707070467,4.97774403879583,0.416448222288666,4.69011189419632,3.38660270646268,5.99362108192996
"Bird Island","BI10","BI10.4",165,164.8,165.8,165.3,-5.90684439348215,-8.20942911893177,4.99787508648765,-0.484182056988386,4.40734770765275,3.10647204016282,5.70822337514269
"Bird Island","BI10","BI10.4",168,168.4,170,169.2,-6.41201324271629,-8.7145958992383,4.99857837130889,0.181494622478,4.27691021026904,2.97698406206735,5.57683635847072
"Bird Island","BI10","BI10.5",181,174.6,175.6,175.1,-5.96027251620396,-8.26285722148231,4.27825125258332,-3.59349596790568,4.39355225959948,3.09278495190009,5.69431956729886
"Bird Island","BI10","BI10.5",191,186.6,187.6,187.1,-7.51197442052319,-9.81364684853634,4.54027274497982,-1.36884138621379,3.99289391854816,2.69445356526314,5.29133427183318
"Bird Island","BI10","BI10.5",194,190.3,191.3,190.8,-8.43398319720215,-10.7381982974179,4.3206654503181,-1.30479120288517,3.754825958542,2.45701527708028,5.05263664000372
"Bird Island","BI10","BI10.5",197,194,195,194.5,-6.88866663199945,-9.19125368718019,4.87346269211726,-0.142324946265369,4.15383556837094,2.8546512683358,5.45301986840608
"Bird Island","BI10","BI10.5",202,199.9,200.8,200.3,-7.26969692482212,-9.5727459906239,4.50289445769973,-0.0565057673306097,4.05545135901495,2.75675231278157,5.35415040524834
"Bird Island","BI10","BI10.6",218,209.5,210.5,210,-4.14072742726257,-6.4433127088022,5.54354948530719,-1.64893233544251,4.8633692487867,3.55785915369748,6.16887934387591
"Bird Island","BI10","BI10.6",228,221.4,222.4,221.9,-4.06791856500638,-6.37050371643564,5.98913459362323,0.134088022177545,4.88216891506551,3.57642407927777,6.18791375085324
"Bird Island","BI10","BI10.6",239,234.2,235.2,234.7,-6.52040051089634,-8.8229849250404,3.88038413127622,-0.110695969466664,4.24892399530131,2.94917968924091,5.54866830136171
"Bird Island","BI10","BI10.6",247,243.9,245,244.5,-6.58683332370924,-8.8894169657446,5.44675605037117,0.228748438546568,4.23177066159791,2.93213398517396,5.53140733802187
"Bird Island","BI10","BI10.7",259,250.7,251.7,251.2,-12.3984445381776,-14.7010296311717,3.39481742260259,-0.694720383394843,2.73117927768406,1.42967144499389,4.03268711037423
"Bird Island","BI10","BI10.7",271,265,266,265.5,-5.50935548516759,-7.81193959019458,5.75633802213369,0.360007866576375,4.50998162602864,3.2082409444787,5.81172230757859
"Bird Island","BI10","BI10.7",280,275.9,276.9,276.4,-4.87841143091591,-7.18099678675344,5.32432084591847,1.29677264431678,4.67289500350728,3.36956860906119,5.97622139795337
"Bird Island","BI10","BI10.8",300,289.7,290.8,290.3,-4.61658933702968,-6.91917422772683,5.32820545194857,0.692265457456351,4.74049897144406,3.43643814037276,6.04455980251535
"Bird Island","BI10","BI10.8",303,293.4,294.4,293.9,-4.62046099685276,-6.92304558214278,4.6123465610999,0.0642042149509845,4.73949928664795,3.43544964185033,6.04354893144558
"Bird Island","BI10","BI10.8",311,303.1,304,303.6,-6.25240187014082,-8.55498852091164,4.87461661416428,0.321036232861196,4.31812278310342,3.01791477095373,5.61833079525311
"Bird Island","BI10","BI10.8",318,311.7,312.8,312.2,-8.58126782016852,-10.8816536881284,4.42303859366974,0.279976007858073,3.71679622323278,2.41903403703528,5.01455840943029
"Bird Island","BI10","BI10.8",326,321.7,322.8,322.2,-7.3939533329234,-9.6964733831518,4.95403130606332,0.258798104810639,4.02336764100425,2.72480611370422,5.32192916830427
"Bird Island","BI10","BI10.9",342,332.1,333.1,332.6,-5.67422027436218,-7.97680682366301,4.69070162574398,-0.443675514233508,4.46741259085983,3.1660432740394,5.76878190768027
"Bird Island","BI10","BI10.9",348,339.5,340.5,340,-5.15912080135975,-7.46170589435379,5.4904289100701,1.38738156140342,4.60041423231886,3.29782550291903,5.9030029617187
"Bird Island","BI10","BI10.9",361,355.7,356.7,356.2,-8.1223139160498,-10.4243635121556,3.92048494006009,-0.294066566026159,3.83530075643686,2.53734013006197,5.13326138281175
"Bird Island","BI10","BI10.9",365,360.7,361.7,361.2,-5.14281628463852,-7.44540069284388,5.29538934356951,0.676467205516448,4.60462415215139,3.30199398662026,5.90725431768252
"Bird Island","BI10","BI10.9",372,369.1,371,370.1,-6.17839864533429,-8.48098180945366,5.0478272141013,-0.416992259674947,4.33723084065036,3.03688645426378,5.63757522703694
"Bird Island","BI10","BI10.10",379,367.3,368.4,367.9,-6.95120050282853,-9.25429225950537,4.66751671834765,-0.557180090406462,4.13768896387419,2.83859087442267,5.43678705332571
"Bird Island","BI10","BI10.10",386,375.7,376.6,376.1,-7.14510678698882,-9.44732933011245,5.03274929516764,0.256840438500877,4.08762124795863,2.78877407660237,5.38646841931489
"Bird Island","BI10","BI10.10",390,380.5,381.5,381,-7.46628765402132,-9.76895665957852,4.15468531520257,-0.154499213558083,4.00469050397716,2.70620433507425,5.30317667288007
"Bird Island","BI10","BI10.10",392,382.9,384,383.4,-6.05443374028508,-8.35701925927683,4.91906062730083,0.351604692711339,4.36923929089931,3.06865838846748,5.66982019333114
"Bird Island","BI10","BI10.10",396,387.7,388.8,388.2,-8.03238100214195,-10.3342704686286,3.85318161888967,-0.885622879807241,3.85852195117274,2.56050611117866,5.15653779116682
"Bird Island","BI10","BI10.10",403,396.3,397.4,396.8,-6.40868932994518,-8.71127563713487,4.12567067482762,0.366256003154174,4.27776846363134,2.97783661660405,5.57770031065863
"Bird Island","BI10","BI10.10",410,404.6,405.6,405.1,-4.76775629421289,-7.07034126955199,4.57698758414123,-0.359247964175184,4.70146679514898,3.39783546232791,6.00509812797004
"Bird Island","BI10","BI10.11",422,409.9,410.9,410.4,-8.91614952761158,-11.2202558510074,4.28594599703063,-0.7439404757574,3.63032784359163,2.33262249032758,4.92803319685569
"Bird Island","BI10","BI10.11",424,412.2,413.2,412.7,-6.50422938326483,-8.80681714810536,4.26153098760221,-0.0172031797892202,4.253099473305,2.95332852793431,5.55287041867569
"Bird Island","BI10","BI10.11",427,415.8,416.8,416.3,-6.90344458339505,-9.2060296763891,4.1206810846406,-0.74085378429308,4.15001981647052,2.85085612242562,5.44918351051542
