"Site","Site_Section","Sample_ID","Core_section","Sample","Radius_1_cm","Radius_2_cm","Thickness_cm","Depth_T_field_cm","Depth_B_field_cm","Depth_field_cm","Depth_T_cm","Depth_B_cm","depth","SH20_min_age","SH20_max_age","SH20_median_age","SH20_mean_ge","accum_rate","Wet_bag_g","Dry_bag_g","Wet_mass_g","Dry_mass_g","Ash_Mass","Water_Content_pc","Dry_mass","LOI550","C_content","Volume_cm3","Wet_density_g_cm3","Dry_density_g_cm3","DMAR_g_cm2_yr"
"HER42PB","HER42PB1A","HER42PB1A_1","A",1,2.1,1.5,1,0,1,0.5,0,1,0.5,-67.08,-60.66,-64.82,-64.57,0.4097,4.1761,1.8575,2.3186,0.7099,0.2489,-0.135661324870226,0.135661324870217,38.28415572,22.20658684,2.5,-1.05539780902103,-0.229278569954753,1.30031803369464
"HER42PB","HER42PB1A","HER42PB1A_2","A",2,2.2,2.5,1.1,1.21,2.31,1.76,1.21,2.31,1.76,-65.68,-52.51,-62.32,-61.5,0.4077,6.6902,2.3847,4.3055,1.2371,0.3944,-0.005135444474588,0.00513544447458041,35.30183727,20.47670375,4.8,-1.2234021575343,-0.365329083254752,1.08120918684437
"HER42PB","HER42PB1A","HER42PB1A_3","A",3,2.4,2.3,1.2,2.52,3.72,3.12,2.52,3.72,3.12,-65.1,-41.72,-59.85,-58.17,0.4116,7.2317,2.3962,4.8355,1.2486,0.2571,0.20845235980918,-0.208452359809188,41.92455387,24.3181867,5.1,-1.05539780902103,-0.433354339904752,0.907112397823469
"HER42PB","HER42PB1A","HER42PB1A_4","A",4,2.5,2.6,1.2,3.92,5.12,4.52,3.92,5.12,4.52,-64.64,-30.21,-57.31,-54.75,0.4092,7.6345,2.6223,5.0122,1.4747,0.417,-0.0525994009820929,0.0525994009820844,37.41557857,21.70277179,5.9,-1.55941085456082,-0.433354339904752,1.05268330825037
"HER42PB","HER42PB1A","HER42PB1A_5","A",5,2.7,2.3,1.2,5.33,6.53,5.93,5.33,6.53,5.93,-64.32,-19.2,-54.7,-51.31,0.4081,8.4731,3.2295,5.2436,2.0819,0.74,-0.728960781214028,0.728960781214018,22.90863632,13.28807211,5.8,-0.60738621298566,0.314923483245243,2.31787785164585
"HER42PB","HER42PB1A","HER42PB1A_6","A",6,2.1,2.7,1.2,6.74,7.94,7.34,6.74,7.94,7.34,-64.06,-8,-52.06,-47.86,0.4103,7.9727,3.2161,4.7566,2.0685,0.9437,-0.954414574624672,0.954414574624663,28.63732607,16.610978,5.4,-0.663387662490081,0.450973996545242,2.69582864117059
"HER42PB","HER42PB1A","HER42PB1A_7","A",7,2.2,2.6,1.2,8.15,9.3,8.72,8.15,9.3,8.72,-63.76,3.19,-49.51,-44.49,0.3223,8.6255,6.4113,2.2142,5.2637,1.0035,-5.71267621450197,5.71267621450195,23.05037957,13.37028977,5.2,0.344638428589504,4.73656516549521,15.1420730752881
"HER42PB","HER42PB1A","HER42PB1A_8","A",8,2.8,2.1,1.2,9.5,10.7,10.1,9.5,10.7,10.1,-62.45,15.06,-45.96,-40.2,0.0853,7.7589,3.2228,4.5361,2.0752,0.8284,-1.08494045502031,1.0849404550203,31.03563104,18.00210617,5.7,-1.16740070802987,0.382948739895242,0.141633785193276
"HER42PB","HER42PB1A","HER42PB1A_9","A",9,2.8,2.2,1.2,10.91,12.11,11.51,10.91,12.11,11.51,-56.36,33.47,-29.12,-23.69,0.0853,8.0985,2.8334,5.2651,1.6858,0.661,-0.242455227012109,0.242455227012101,32.46142843,18.82913482,5.8,-0.99939635951661,-0.161253313304754,-0.124881377881544
"HER42PB","HER42PB1A","HER42PB1A_10","A",10,2.7,2.3,1.1,12.32,13.42,12.87,12.32,13.42,12.87,-52.97,66.26,-14.46,-7.77,0.0853,8.2046,3.1004,5.1042,1.9528,0.3536,-0.645898857325895,0.645898857325886,38.04100228,22.06554657,5.4,-0.383380414967974,0.314923483245243,0.0459318567688214
"HER42PB","HER42PB1A","HER42PB1A_11","A",11,2.7,2.2,1.1,13.63,14.73,14.18,13.63,14.73,14.18,-50.17,106.81,-0.36,7.56,0.0853,7.7239,3.2141,4.5098,2.0665,0.864,-1.08494045502031,1.0849404550203,23.17268362,13.4412318,5.2,-0.60738621298566,0.587024509845241,0.19677013566512
"HER42PB","HER42PB1A","HER42PB1A_12","A",12,2.5,2.1,1.2,14.94,16.14,15.54,14.94,16.14,15.54,-47.99,149.42,13.86,23.48,0.0859,8.1105,3.1547,4.9558,2.0071,0.5594,-0.776424737721531,0.776424737721523,28.91994917,16.77491251,5,0.120632630571818,0.587024509845241,0.140881303983362
"HER42PB","HER42PB1A","HER42PB1A_13","A",13,2.5,2.2,1.2,16.34,17.54,16.94,16.34,17.54,16.94,-45.86,192.41,27.12,39.87,0.0853,7.5396,2.9431,4.5965,1.7955,0.6187,-0.693362813833398,0.693362813833391,29.63721142,17.1909579,5.2,-0.831392011003346,0.246898226595243,0.0376545634597729
"HER42PB","HER42PB1A","HER42PB1A_14","A",14,2.6,2.2,1.2,17.75,18.95,18.35,17.75,18.95,18.35,-43.5,240.06,40.98,56.38,0.0856,7.9927,2.8803,5.1124,1.7327,0.4564,-0.361115118280869,0.361115118280862,31.88059701,18.49222564,5.3,-0.495383313976817,0.110847713295244,-0.0470337763468563
"HER42PB","HER42PB1A","HER42PB1A_15","A",15,2.5,2.1,1.2,19.16,20.31,19.73,19.16,20.31,19.73,-41.7,286.38,54.56,72.53,0.0869,7.6837,3.0596,4.6241,1.912,0.7394,-0.835754683355911,0.835754683355903,26.38391079,15.30389257,4.7,0.120632630571818,0.65504976649524,0.17823173494816
"HER42PB","HER42PB1A","HER42PB1A_16","A",16,2.1,2.2,1.1,20.52,21.64,21.08,20.52,21.64,21.08,-28.73,300.22,70.21,87.98,0.0885,8.4329,3.5419,4.891,2.3943,0.7212,-1.26293029192345,1.26293029192344,24.86717366,14.42411465,4,2.58469640876636,1.94752964284523,0.658656783786574
"HER42PB","HER42PB1A","HER42PB1A_17","A",17,2.5,2.1,1.2,21.84,23.04,22.44,21.84,23.04,22.44,-18.35,310.65,86.53,103.44,0.0878,8.4495,3.5275,4.922,2.3799,0.5265,-1.22733232454282,1.22733232454281,28.50353069,16.53337047,5,0.512642777102769,1.13122656304524,0.403497246243176
"HER42PB","HER42PB1A","HER42PB1A_18","A",18,2.4,2.2,1.2,23.25,24.45,23.85,23.25,24.45,23.85,-10.14,323.37,105.33,119.48,0.0878,8.3395,3.5202,4.8193,2.3726,0.559,-1.27479628105033,1.27479628105032,27.69370069,16.06363149,4.9,0.56864422660719,1.19925181969524,0.434827827528665
"HER42PB","HER42PB1A","HER42PB1A_19","A",19,2.5,2.1,1.2,24.66,25.86,25.26,24.66,25.86,25.26,-2.75,338.51,125.2,135.52,0.0881,8.0766,3.242,4.8346,2.0944,0.5293,-0.942548585497796,0.942548585497787,27.72087942,16.07939642,4.8,0.400639878093926,0.859125536445239,0.264972296236371
"HER42PB","HER42PB1A","HER42PB1A_20","A",20,2.3,2.1,1.3,26.07,27.32,26.69,26.07,27.32,26.69,2.23,355.48,143.79,151.78,0.0875,7.701,3.2106,4.4904,2.063,0.4764,-1.09680644414718,1.09680644414718,27.71961766,16.07866454,4.7,0.00862973156297537,0.79110027979524,0.274480922434369
"HER42PB","HER42PB1A","HER42PB1A_21","A",21,2.3,2.1,1.2,27.53,28.73,28.13,27.53,28.73,28.13,7.27,371.79,160.6,168.16,0.0884,7.5656,3.2391,4.3265,2.0915,0.7447,-1.22733232454282,1.22733232454281,26.06235107,15.11737301,4.5,0.344638428589504,1.06320130639524,0.390499843526488
"HER42PB","HER42PB1A","HER42PB1A_22","A",22,2.4,2.1,1.1,28.93,30.03,29.48,28.93,30.03,29.48,12.82,394.89,176.81,183.52,0.0865,7.7953,3.5581,4.2372,2.4105,0.7525,-1.66637392223723,1.66637392223723,22.43867244,13.01547125,4.3,1.01665582264256,1.67542861624523,0.666592040182025
"HER42PB","HER42PB1A","HER42PB1A_23","A",23,2.4,2.1,1.2,30.24,31.44,30.84,30.24,31.44,30.84,26.07,408.96,192.66,199.22,0.0856,8.1833,3.7684,4.4149,2.6208,0.749,-1.77316782437912,1.77316782437911,22.28678149,12.92736745,4.7,0.736648575120455,1.67542861624523,0.684309552306352
"HER42PB","HER42PB1A","HER42PB1A_24","A",24,2.3,2.2,1.2,31.65,32.85,32.25,31.65,32.85,32.25,44.59,413.91,210,215.66,0.086,8.2321,3.9808,4.2513,2.8332,1.0544,-2.10541551993165,2.10541551993164,19.6157658,11.37805441,4.8,0.624645676111612,1.87950438619523,0.852181269499783
"HER42PB","HER42PB1A","HER42PB1A_25","A",25,2.3,2.1,1.1,33.06,34.11,33.58,33.06,34.11,33.58,56.13,419.28,226.3,231.16,0.0859,8.753,4.2258,4.5272,3.0782,1.0321,-2.16474546556603,2.16474546556602,19.46785268,11.29225794,4,2.97670655529731,3.10395900589522,1.29710288670682
"HER42PB","HER42PB1A","HER42PB1A_26","A",26,2.2,2.2,1.2,34.31,35.51,34.91,34.31,35.51,34.91,67.68,429.01,243.83,246.67,0.0857,8.7449,4.265,4.4799,3.1174,0.8527,-2.22407541120041,2.2240754112004,48.42748276,28.09018722,4.6,1.6326717671912,2.49173169604523,1.09817421775878
"HER42PB","HER42PB1A","HER42PB1A_27","A",27,2.3,2.1,1.2,35.72,36.92,36.32,35.72,36.92,36.32,77.96,436.64,261.76,263.1,0.0857,8.3165,4.0226,4.2939,2.875,0.8924,-2.11728150905852,2.11728150905852,18.90958655,10.96843767,4.5,1.29666307016467,2.28765592609523,0.991390293333782
"HER42PB","HER42PB1A","HER42PB1A_28","A",28,2.2,2.1,1.1,37.13,38.23,37.68,37.13,38.23,37.68,89.12,447.08,279.58,278.95,0.0859,7.3726,3.4396,3.933,2.292,0.7861,-1.72570386787161,1.72570386787161,20.10366907,11.66106095,3.9,1.24066162066025,1.87950438619523,0.740266791370829
"HER42PB","HER42PB1A","HER42PB1A_29","A",29,2.3,2.1,1.2,38.44,39.59,39.01,38.44,39.59,39.01,96.63,463.05,295.58,294.46,0.0834,7.7604,3.9721,3.7883,2.8245,1.2004,-2.4257972263573,2.42579722635729,13.93131139,8.080807071,4.3,0.960654373138141,2.35568118274523,1.07087967205374
"HER42PB","HER42PB1A","HER42PB1A_30","A",30,2.1,2.1,1.2,39.8,40.95,40.37,39.8,40.95,40.37,112.62,478.55,313.44,310.75,0.078,7.3094,3.5679,3.7415,2.4203,1.0001,-2.02235359604352,2.02235359604351,15.87314939,9.207163219,3.9,1.18466017115583,2.08358015614523,0.763867338409026
"HER42PB","HER42PB1A","HER42PB1A_31","A",31,2.1,2.1,1.1,41.15,42.25,41.7,41.15,42.25,41.7,154.25,482.22,329.27,327.84,0.0777,7.6669,3.8449,3.822,2.6973,0.2839,-2.27153936770791,2.2715393677079,18.16085327,10.53413763,3.6,2.36069061074868,2.89988323594523,1.09277003452395
"HER42PB","HER42PB1A","HER42PB1A_32","A",32,2.1,2.2,1.2,42.46,43.66,43.06,42.46,43.66,43.06,190.15,486.28,345.59,345.31,0.078,7.3429,2.8962,4.4467,1.7486,0.1793,-0.705228802960275,0.705228802960266,32.94689604,19.11072856,4.2,0.624645676111612,0.72307502314524,0.0958692461539904
"HER42PB","HER42PB1A","HER42PB1A_33","A",33,2.1,2.3,1.2,43.87,45.02,44.44,43.87,45.02,44.44,226.38,491.08,365.96,363.04,0.0777,7.2577,2.778,4.4797,1.6304,0.1051,-0.527238966057135,0.527238966057126,37.81065089,21.93193207,4.2,0.456641327598347,0.518999253195242,0.0176112003229859
"HER42PB","HER42PB1A","HER42PB1A_34","A",34,2,2.1,1.2,45.23,46.38,45.8,45.23,46.38,45.8,253.14,496.14,387.73,380.51,0.0772,6.682,2.4898,4.1922,1.3422,0.121,-0.242455227012109,0.242455227012101,40.77337249,23.65044808,3.7,0.680647125616033,0.314923483245243,-0.0740546925210231
"HER42PB","HER42PB1B","HER42PB1B_42","B",42,2.1,2,1.2,45.72,46.87,46.3,45.72,46.87,46.3,262.27,498.88,396.77,386.93,0.0779,7.1204,2.9192,4.2012,1.7716,0.2255,-0.883218639863416,0.883218639863407,30.87063151,17.90639879,3.7,1.29666307016467,1.13122656304524,0.223243792777531
"HER42PB","HER42PB1B","HER42PB1B_43","B",43,2.1,2.2,1.1,47.08,48.18,47.63,47.08,48.18,47.63,284.47,507.68,420.44,404.02,0.0782,7.0745,2.8174,4.2571,1.6698,0.1567,-0.705228802960275,0.705228802960266,34.81697171,20.19545923,4,0.56864422660719,0.72307502314524,0.0973742085738174
"HER42PB","HER42PB1B","HER42PB1B_44","B",44,2.2,2.3,1.2,48.38,49.58,48.98,48.38,49.58,48.98,304.23,519.08,443.41,421.36,0.0838,7.6652,2.8266,4.8386,1.679,0.1643,-0.42044506391525,0.420445063915242,39.41740413,22.86392351,4.7,0.120632630571818,0.314923483245243,-0.00380031046818936
"HER42PB","HER42PB1B","HER42PB1B_45","B",45,2.1,2.1,1.2,49.79,50.99,50.39,49.79,50.99,50.39,322.41,535.69,461.06,438.14,0.1066,7.3351,2.5991,4.736,1.4515,0.1894,-0.147527313997101,0.147527313997093,38.94261767,22.58852533,4,1.01665582264256,0.382948739895242,0.0978530602528533
"HER42PB","HER42PB1B","HER42PB1B_46","B",46,2.3,2.1,1.2,51.19,52.39,51.79,51.19,52.39,51.79,333.68,549.71,474.4,451.33,0.1055,7.751,2.8612,4.8898,1.7136,0.1666,-0.432311053042127,0.432311053042117,36.6298973,21.2470402,4.6,0.400639878093926,0.450973996545242,0.174058884602276
"HER42PB","HER42PB1B","HER42PB1B_47","B",47,2.2,2.2,1.2,52.6,53.75,53.18,52.6,53.75,53.18,339.61,571.51,483.52,464.42,0.1066,7.5294,2.766,4.7634,1.6184,0.2063,-0.372981107407746,0.372981107407737,30.81824279,17.8760109,4.3,0.624645676111612,0.450973996545242,0.167628590626651
"HER42PB","HER42PB1B","HER42PB1B_48","B",48,2.1,2.1,1.2,53.96,55.11,54.53,53.96,55.11,54.53,345.31,599.32,493.6,477.14,0.1058,7.2276,2.6249,4.6027,1.4773,0.1425,-0.242455227012109,0.242455227012101,40.84682441,23.6930536,4,0.848651474129298,0.382948739895242,0.114818091167267
"HER42PB","HER42PB1B","HER42PB1B_49","B",49,2.2,2.1,1.2,55.31,56.46,55.89,55.31,56.46,55.89,349.02,627.84,502.26,489.95,0.1066,7.8671,2.9532,4.9139,1.8056,0.1335,-0.550970944310887,0.550970944310878,46.6640032,27.06728724,4.1,1.52066886818235,0.859125536445239,0.326812570214717
"HER42PB","HER42PB1B","HER42PB1B_50","B",50,2.2,2.1,1.2,56.67,57.82,57.24,56.67,57.82,57.24,352.86,657.92,510.62,502.67,0.1062,7.9596,3.2601,4.6995,2.1125,0.1665,-1.0374764985128,1.0374764985128,28.44864633,16.50153499,4,1.85667756520888,1.47135284629524,0.657493858280344
"HER42PB","HER42PB1B","HER42PB1B_51","B",51,2.2,2.1,1.1,58.02,59.12,58.57,58.02,59.12,58.57,355.65,689.74,519.21,515.2,0.1058,7.7332,2.9452,4.788,1.7976,0.222,-0.59843490081839,0.598434900818382,28.98272553,16.81132571,3.9,1.74467466620004,0.995176049745238,0.37285073878488
"HER42PB","HER42PB1B","HER42PB1B_52","B",52,2.2,2.1,1.1,59.33,60.43,59.88,59.33,60.43,59.88,358.08,724.22,527.99,527.54,0.0915,7.8707,2.8452,5.0255,1.6976,0.1782,-0.349249129153994,0.349249129153985,36.28888094,21.04923488,3.9,1.9126790147133,0.859125536445239,0.157914742280495
"HER42PB","HER42PB1B","HER42PB1B_53","B",53,2.1,2.1,1.1,60.63,61.73,61.18,60.63,61.73,61.18,374.05,736,542.25,541.81,0.0895,7.6072,2.7906,4.8166,1.643,0.1744,-0.372981107407746,0.372981107407737,35.88235294,20.81342978,3.7,2.02468191372215,0.859125536445239,0.1480640791689
"HER42PB","HER42PB1B","HER42PB1B_54","B",54,2.2,2.2,1.2,61.94,63.14,62.54,61.94,63.14,62.54,384.64,749.3,557.81,556.96,0.0901,8.2725,3.0913,5.1812,1.9437,0.1418,-0.59843490081839,0.598434900818382,32.98676749,19.13385585,4.5,1.24066162066025,0.859125536445239,0.204568577295132
"HER42PB","HER42PB1B","HER42PB1B_55","B",55,2.2,2,1.1,63.34,64.44,63.89,63.34,64.44,63.89,393.05,767.64,572.21,572,0.0895,6.9412,2.4824,4.4588,1.3348,0.0957,-0.0881973683627207,0.0881973683627126,32.27176221,18.71911961,3.8,0.792650024624876,0.246898226595243,-0.0432713702972887
"HER42PB","HER42PB1B","HER42PB1B_56","B",56,2,2.3,1.1,64.65,65.75,65.2,64.65,65.75,65.2,400.63,788.4,586.13,586.59,0.0894,7.1786,2.3474,4.8312,1.1998,0.1018,0.279648294570436,-0.279648294570445,43.00111982,24.94264491,3.8,1.12865872165141,0.0428224566452449,-0.146498110820878
"HER42PB","HER42PB1B","HER42PB1B_57","B",57,2.1,2.1,1.1,65.96,67.06,66.51,65.96,67.06,66.51,406.3,819.86,598.96,601.19,0.0899,7.5427,2.7458,4.7969,1.5982,0.1239,-0.325517150900242,0.325517150900233,36.75344564,21.31870397,3.6,2.13668481273099,0.859125536445239,0.140197230156168
"HER42PB","HER42PB1B","HER42PB1B_58","B",58,2.1,2.2,1.1,67.26,68.31,67.79,67.26,68.31,67.79,412.32,852.04,610.29,615.44,0.0901,7.1545,2.704,4.4505,1.5564,0.1277,-0.432311053042127,0.432311053042117,36.43603783,21.13459271,3.8,1.12865872165141,0.65504976649524,0.118512089834115
"HER42PB","HER42PB1B","HER42PB1B_59","B",59,2.2,2.2,1.2,68.52,69.67,69.09,68.52,69.67,69.09,417.65,885.54,622.27,629.93,0.092,8.0565,2.9897,5.0668,1.8421,0.1809,-0.527238966057135,0.527238966057126,29.74757282,17.25497263,4.3,1.35266451966909,0.79110027979524,0.186577435639928
"HER42PB","HER42PB1B","HER42PB1B_60","B",60,2.2,2.1,1.1,69.87,70.92,70.4,69.87,70.92,70.4,425.71,912.66,634.11,644.12,0.0984,7.754,3.1857,4.5683,2.0381,0.263,-1.02561050938593,1.02561050938592,25.74816488,14.93513044,3.7,2.19268626223541,1.60740335959523,0.608308950105088
"HER42PB","HER42PB1B","HER42PB1B_61","B",61,2.2,2.2,1.1,71.13,72.23,71.68,71.13,72.23,71.68,438.26,920.5,647.47,657.13,0.0985,7.8203,3.1071,4.7132,1.9595,0.187,-0.847620672482788,0.847620672482779,28.7347561,16.66749194,4.1,1.40866596917351,1.13122656304524,0.414921279157317
"HER42PB","HER42PB1B","HER42PB1B_62","B",62,2.1,2.1,1.1,72.43,73.48,72.96,72.43,73.48,72.96,451.93,929.16,660.58,670.13,0.0989,7.4977,2.9865,4.5112,1.8389,0.1714,-0.800156715975283,0.800156715975275,30.26851098,17.55714094,3.6,2.08068336322657,1.33530233299524,0.464653446394328
"HER42PB","HER42PB1B","HER42PB1B_63","B",63,2.2,2.1,1.2,73.69,74.84,74.26,73.69,74.84,74.26,463.29,938.83,675.3,683.33,0.0985,7.2075,2.7871,4.4204,1.6395,0.1578,-0.574702922564638,0.57470292256463,33.30515638,19.31853618,4.1,0.624645676111612,0.587024509845241,0.19444428465266
"HER42PB","HER42PB1B","HER42PB1B_64","B",64,2.2,2,1,75.04,76.04,75.54,75.04,76.04,75.54,472.5,952.78,689.33,696.33,0.0981,7.2623,2.9707,4.2916,1.8231,0.2241,-0.895084628990291,0.895084628990283,18.03218727,10.45950538,3.5,2.19268626223541,1.47135284629524,0.523757425063898
"HER42PB","HER42PB1B","HER42PB1B_65","B",65,2.2,2.1,1.1,76.25,77.35,76.8,76.25,77.35,76.8,479.52,963.64,702.66,709.13,0.0985,7.1291,3.0757,4.0534,1.9281,0.2901,-1.17986836803532,1.17986836803531,19.39427619,11.24958016,3.8,1.07265727214698,1.33530233299524,0.570548074843974
"HER42PB","HER42PB1B","HER42PB1B_66","B",66,2.1,2,1.1,77.56,78.61,78.08,77.56,78.61,78.08,488.6,977.11,716.23,722.13,0.0985,7.4965,3.3537,4.1428,2.2061,0.2354,-1.47651809620722,1.47651809620721,26.48344785,15.36162868,3.5,2.52869495926194,2.21963066944523,0.960470156344609
"HER42PB","HER42PB1B","HER42PB1B_67","B",67,2.1,1.9,1.1,78.81,79.91,79.36,78.81,79.91,79.36,495.69,995.62,730.15,735.13,0.0997,6.7795,3.0251,3.7544,1.8775,0.182,-1.31039424843095,1.31039424843094,27.31629393,15.84471806,3.5,1.40866596917351,1.53937810294523,0.689987365072063
"HER42PB","HER42PB1B","HER42PB1B_68","B",68,2.2,2,1.2,80.12,81.27,80.69,80.12,81.27,80.69,506.41,1011.35,743.13,748.48,0.1004,7.9915,3.8703,4.1212,2.7227,0.2654,-2.0816835416779,2.08168354167789,19.15930551,11.11328626,3.9,2.13668481273099,2.62778220934523,1.37796041308117
"HER42PB","HER42PB1B","HER42PB1B_69","B",69,2.1,2.1,1.1,81.47,82.52,82,81.47,82.52,82,522.44,1021.63,756.38,761.48,0.1008,7.7294,4.0376,3.6918,2.89,0.2298,-2.56818909587981,2.5681890958798,18.53952499,10.7537848,3.6,2.4166920602531,3.30803477584522,1.88451708211839
"HER42PB","HER42PB1B","HER42PB1B_70","B",70,2.2,2.1,1.1,82.73,83.83,83.28,82.73,83.83,83.28,536.86,1034.85,770.53,774.19,0.1012,8.0513,4.4399,3.6114,3.2923,0.265,-3.0190966827011,3.01909668270109,17.75294848,10.29753392,3.8,2.4166920602531,3.71618631574522,2.30405956033653
"HER42PB","HER42PB1B","HER42PB1B_71","B",71,2.2,2.2,1.1,84.03,85.13,84.58,84.03,85.13,84.58,550.62,1045.38,783.69,787.09,0.1004,7.7963,4.0457,3.7506,2.8981,0.4658,-2.53259112849919,2.53259112849918,14.93791088,8.664681485,4.1,1.40866596917351,2.69580746599523,1.59063896595581
"HER42PB","HER42PB1B","HER42PB1B_72","B",72,2.2,2.1,1.1,85.34,86.44,85.89,85.34,86.44,85.89,560.22,1056.95,797.42,800.09,0.1005,8.0437,4.1009,3.9428,2.9533,0.2314,-2.43766321548418,2.43766321548417,19.95849187,11.57685143,3.9,2.19268626223541,3.03593374924522,1.70098007428222
"HER42PB","HER42PB1C","HER42PB1C_80","C",80,2.4,2.1,1.3,86.54,87.79,87.17,86.54,87.79,87.17,569.94,1069.25,809.84,812.8,0.101,7.8846,4.6198,3.2648,3.4722,0.3446,-3.47000426952239,3.47000426952238,9.363492898,5.431260382,5,-0.103373167445866,2.62778220934523,1.95497668631939
"HER42PB","HER42PB1C","HER42PB1C_81","C",81,2.5,2.4,1.3,87.95,89.25,88.6,87.95,89.25,88.6,581.45,1092.78,824.26,826.99,0.1007,8.0081,3.4167,4.5914,2.2691,0.2094,-1.2866622701772,1.28666227017719,23.68804665,13.74016627,6,-1.33540505654314,0.450973996545242,0.330164531967968
"HER42PB","HER42PB1C","HER42PB1C_82","C",82,2.4,2.3,1.2,89.41,90.61,90.01,89.41,90.61,90.01,588.1,1117.05,838.41,840.98,0.1008,7.3806,2.8392,4.5414,1.6916,0.1188,-0.574702922564638,0.57470292256463,29.99410725,17.39797404,5.1,-0.887393460507767,0.110847713295244,0.0808880293384398
"HER42PB","HER42PB1C","HER42PB1C_83","C",83,2.4,2.2,1.2,90.77,91.97,91.37,90.77,91.97,91.37,605.09,1128.65,852.4,854.45,0.1009,7.3727,2.6994,4.6733,1.5518,0.0759,-0.313651161773366,0.313651161773357,31.31221719,18.16253897,5,-0.719389111994503,-0.0252028000047547,-0.00311623664099526
"HER42PB","HER42PB1C","HER42PB1C_84","C",84,2.4,2.3,1.2,92.13,93.33,92.73,92.13,93.33,92.73,617.47,1138.08,866.51,867.91,0.1012,7.4288,2.777,4.6518,1.6294,0.1581,-0.432311053042127,0.432311053042117,31.40997831,18.21924496,5.1,-0.831392011003346,0.0428224566452449,0.0379966003733699
"HER42PB","HER42PB1C","HER42PB1C_85","C",85,2.3,2.2,1.2,93.48,94.63,94.06,93.48,94.63,94.06,631.69,1154.13,879.8,881.08,0.1008,6.8537,2.4742,4.3795,1.3266,0.0763,-0.111929346616473,0.111929346616465,38.46774194,22.31307537,4.6,-0.719389111994503,-0.161253313304754,-0.071865656274002
"HER42PB","HER42PB1C","HER42PB1C_86","C",86,2.4,2.2,1.3,94.79,96.04,95.42,94.79,96.04,95.42,641.9,1168.02,893.67,894.55,0.1013,7.0295,2.4859,4.5436,1.3383,0.0712,-0.0644653901089682,0.0644653901089606,41.25412541,23.92930708,5,-1.11139925852545,-0.297303826604753,-0.109558124152397
"HER42PB","HER42PB1C","HER42PB1C_87","C",87,2.3,2.2,1.2,96.2,97.4,96.8,96.2,97.4,96.8,649.44,1180.64,908.83,908.21,0.1009,6.9388,2.635,4.3038,1.4874,0.0864,-0.408579074788374,0.408579074788365,35.13513514,20.38000878,4.7,-0.775390561498924,0.0428224566452449,0.031497899015026
"HER42PB","HER42PB1C","HER42PB1C_88","C",88,2.2,2.3,1.1,97.56,98.66,98.11,97.56,98.66,98.11,655.48,1192.44,921.43,921.18,0.1009,7.1141,2.8217,4.2924,1.6741,0.1326,-0.693362813833398,0.693362813833391,31.25972006,18.1320882,4.4,-0.103373167445866,0.450973996545242,0.200806171245565
"HER42PB","HER42PB1C","HER42PB1C_89","C",89,2.3,2.3,1.2,98.82,100.02,99.42,98.82,100.02,99.42,664.07,1203.41,934.39,934.15,0.0993,7.1264,2.7218,4.4046,1.5742,0.1352,-0.47977500954963,0.479775009549622,35.31100478,20.48202133,5,-0.99939635951661,0.0428224566452449,0.0357391567436294
"HER42PB","HER42PB1C","HER42PB1C_90","C",90,2.1,2.3,1.3,100.18,101.43,100.8,100.18,101.43,100.8,679.3,1214.02,948.27,948.08,0.098,7.3873,2.9595,4.4278,1.8119,0.1363,-0.800156715975283,0.800156715975275,32.25646123,18.71024433,4.6,-0.215376066454709,0.518999253195242,0.222012459888582
"HER42PB","HER42PB1C","HER42PB1C_91","C",91,2.3,2.1,1.5,101.58,103.08,102.33,101.58,103.08,102.33,702.86,1223.43,965.3,963.73,0.0977,6.661,2.4255,4.2355,1.2779,0.1413,-0.111929346616473,0.111929346616465,36.46582734,21.15187201,5.7,-2.2874296981183,-0.63743010985475,-0.194998945168939
"HER42PB","HER42PB1C","HER42PB1C_92","C",92,2.1,2.4,1.1,103.24,104.34,103.79,103.24,104.34,103.79,719.32,1234.01,979.49,978.66,0.0973,7.3065,2.4868,4.8197,1.3392,0.0825,0.0660604902866676,-0.066060490286676,42.82744283,24.84190419,4.4,0.17663408007624,-0.0252028000047547,-0.0882834281266603
"HER42PB","HER42PB1C","HER42PB1C_93","C",93,2.2,2.4,1.2,104.5,105.65,105.08,104.5,105.65,105.08,735.82,1244.57,992.84,991.85,0.098,7.4754,2.5409,4.9345,1.3933,0.107,0.0304625229060398,-0.0304625229060478,37.57292882,21.79404224,4.8,-0.271377515959131,-0.161253313304754,-0.108463606028886
"HER42PB","HER42PB1C","HER42PB1C_94","C",94,2.1,2.4,1.2,105.81,107.01,106.41,105.81,107.01,106.41,746.81,1257.92,1005.55,1005.46,0.0977,7.5871,2.5179,5.0692,1.3703,0.0763,0.113524446794172,-0.11352444679418,42.84644195,24.85292456,4.7,0.00862973156297537,-0.161253313304754,-0.123376415461717
"HER42PB","HER42PB1C","HER42PB1C_95","C",95,2.1,2.4,1.2,107.17,108.37,107.77,107.17,108.37,107.77,760.92,1270.35,1018.66,1019.37,0.098,7.2235,2.6516,4.5719,1.504,0.0928,-0.301785172646489,0.301785172646481,43.34554335,25.14242654,4.8,-0.60738621298566,0.0428224566452449,-0.00380031046818936
