"Site","Element","Model","Rank_site","Robustness_score_site","R2_overall","RMSE_overall","RMSEP_overall","SNR_CI_s","SNR_smooth_s","n_mean"
"KER3","Ca","OLS_weighted",1,0.989106942069699,0.60078407376705,0.449611220751241,5620.88386479327,1,0.972767355174248,2000
"KER3","Ca","OLS",2,0.847365257423993,0.605349695781694,0.447032844459699,5504.63271481712,0.792291507834117,0.929975881808806,2000
"KER3","Ca","PLS_LOO",3,0.76632408044224,0.605172814508826,0.447133012734933,5921.70892622602,0.837095524308569,0.660166914642747,1837
"KER3","Ca","PLS_kfold",4,0.76632408044224,0.605172814508826,0.447133012734933,5921.70892622602,0.837095524308569,0.660166914642747,1837
"KER3","Ca","Bayes",5,0.606917785029658,0.636884102731344,0.428801053115093,5546.07861545861,0.840710085229549,0.256229334729823,1837
"KER3","Ca","RF",6,0.427800223898523,0.682203721520104,0.401150756423534,4911.79054471344,0.713000373164205,0,1837
"KER3","Ca","WLS_weighted",7,0.402449118092945,0.604732452698864,0.447382293228408,5447.03371534874,0.00569391551058415,0.997581921966485,2000
"KER3","Ca","WLS",8,0.4,0.604685117514639,0.447409080513934,5446.04597912254,0,1,2000
"KER3","Sr","PLS_LOO",1,0.946185870093619,0.619560933054721,0.381668523678026,58.9814163562467,0.910309783489366,1,1837
"KER3","Sr","PLS_kfold",2,0.946185870093619,0.619560933054721,0.381668523678026,58.9814163562467,0.910309783489366,1,1837
"KER3","Sr","Bayes",3,0.927383671565145,0.635271572146413,0.373704733132646,56.5643915636821,1,0.818459178912863,1837
"KER3","Sr","RF",4,0.709230771752243,0.675793821060387,0.35233390312532,45.3389098498978,0.897354557649365,0.427045092906561,1837
"KER3","Sr","OLS",5,0.584596236682407,0.605940022011523,0.388440903375382,59.7735590156883,0.968146741230707,0.00927047985995764,1846
"KER3","Sr","OLS_weighted",6,0.10399030648715,0.588442221601662,0.396971381054182,68.563181097856,0,0.259975766217874,1846
"KER3","Sr","WLS_weighted",7,0.0994436464003926,0.605197017350042,0.38880693583257,61.616501941787,0.131143991367748,0.0518931289493589,1846
"KER3","Sr","WLS",8,0.0693031338712478,0.605899324973479,0.388460961218056,59.3656290640811,0.115505223118746,0,1846
"KER3","Ti","OLS_weighted",1,0.817922355156054,0.718555763474536,0.652933928562262,2173.73266969499,0.727076971695812,0.954190430346416,1984
"KER3","Ti","OLS",2,0.801080949542684,0.729930592021033,0.639603384224678,2035.54425020404,0.743170069032022,0.887947270308679,1984
"KER3","Ti","RF",3,0.733415281902351,0.737139589077221,0.631009137231014,1647.90252563752,0.78791002406583,0.651673168657132,1837
"KER3","Ti","PLS_LOO",4,0.639265658141706,0.756227776634957,0.607666319730726,1919.97750377683,0.912323476898689,0.229678930006231,1837
"KER3","Ti","PLS_kfold",5,0.639265658141706,0.756227776634957,0.607666319730726,1919.97750377683,0.912323476898689,0.229678930006231,1837
"KER3","Ti","Bayes",6,0.6,0.757847910218222,0.605643649083077,2132.72586760655,1,0,1837
"KER3","Ti","WLS_weighted",7,0.403404843902111,0.72919658362992,0.640471967780676,1893.08238585334,0.0148935923293629,0.986171721261233,1984
"KER3","Ti","WLS",8,0.4,0.728935134347202,0.640781067535794,1882.89538666468,0,1,1984
"KER3","Zr","OLS",1,0.625269319719142,0.608456680906178,0.822327315016661,148.16046066862,1,0.0631732992978546,2000
"KER3","Zr","RF",2,0.565367149892293,0.744624310661954,0.664116978438206,47.763991633004,0.275611916487156,1,1837
"KER3","Zr","Bayes",3,0.552479057547136,0.7219222288162,0.693007515213175,84.3816359771264,0.854036720236172,0.100142563513582,1837
"KER3","Zr","PLS_LOO",4,0.523317366186152,0.72037835645274,0.69492862207945,77.8910261396823,0.753267451410815,0.178392238349158,1837
"KER3","Zr","PLS_kfold",5,0.523317366186152,0.72037835645274,0.69492862207945,77.8910261396823,0.753267451410815,0.178392238349158,1837
"KER3","Zr","WLS_weighted",6,0.454442463442782,0.608229412035276,0.822565937768544,162.575252795128,0.73443960365491,0.0344467531245891,2000
"KER3","Zr","WLS",7,0.305795194539484,0.608323185716187,0.822467487738816,159.077231156446,0.482391287627857,0.0409010549069246,2000
"KER3","Zr","OLS_weighted",8,0,0.401191970178938,1.01694769214115,153.784821913486,0,0,2000
