"Location","Site","Section","sample","min_depth","max_depth","midpoint","SH20_age","kcps","cps","cps_acf_sum","MSE","K","Ca","Ti","Mn","Fe","Co","Ni","Cu","Zn","Rb","Sr","Zr","Mo_inc","Mo_coh","coh_inc","K_sd","Ca_sd","Ti_sd","Mn_sd","Fe_sd","Co_sd","Ni_sd","Cu_sd","Zn_sd","Rb_sd","Sr_sd","Zr_sd","Mo_inc_sd","Mo_coh_sd","coh_inc_sd","water_content_pc","water_content_err","dry_mass_pc","dry_mass_err","density_gcm3","density_gcm3_err","P_ICP","P_ICP_sd","K_ICP","K_ICP_sd","Ca_ICP","Ca_ICP_sd","Ti_ICP","Ti_ICP_sd","Mn_ICP","Mn_ICP_sd","Fe_ICP","Fe_ICP_sd","Co_ICP","Co_ICP_sd","Ni_ICP","Ni_ICP_sd","Cu_ICP","Cu_ICP_sd","Zn_ICP","Zn_ICP_sd","As_ICP","As_ICP_sd","Rb_ICP","Rb_ICP_sd","Sr_ICP","Sr_ICP_sd","Zr_ICP","Zr_ICP_sd","Pb_ICP","Pb_ICP_sd","Th_ICP","Th_ICP_sd"
"Bird Island","BI10","BI10.1",1,0,1.1,0.6,-55.4909090909091,20689.8181818182,52220.3636363636,51424.8181818182,1.32909090909091,0.0166200094508697,0.0818509096992784,0.0296382662517896,0.0319881973176655,10.6089613409039,0.132074683298592,0.335575237698124,0.170331554976755,0.0156225433902151,0.0495276531430358,0.0550910231511645,1.54132322151837,74.3041682832458,10.8737074275158,0.146376584727273,0.0190684881174599,0.0313870702919944,0.0349040346485669,0.0225898354199711,1.65742174255479,0.109995327760025,0.0480573150747056,0.088383157477021,0.0352881049910537,0.0745971463045873,0.0910889369732401,0.245186299934987,1.48572165126881,0.257051052976305,0.00388698448403857,87.48565272,4.374282636,12.51434728,1.251434728,0.106894716,0.010689472,3631.01094,41.22201845,1782.206118,520.9093274,1557.061769,23.70865277,134.9563972,2.246361623,34.34524027,0.178633186,13959.03161,176.5369365,0.738789575,0.008034972,2.467420581,0.015066934,4.369649931,0.022750235,22.90793616,0.057813095,1.593037056,0.008373058,2.288761162,0.010158086,26.58846642,0.463509298,2.896325963,0.085387528,1.440961807,0.005279507,0.193973613,0.004950768
"Bird Island","BI10","BI10.1",4,3.9,5,4.5,5.21666666666667,24515.9166666667,60507.1666666667,59525.9166666667,1.32166666666667,0.0173855943359705,0.0723929367089474,0.0217716380992997,0.0598473471720287,8.5189671829483,0.137436476220766,0.401623352367971,0.167079536169283,0,0.0946376790959899,0.00343059763755324,1.50976366270431,75.9972483229091,11.0930630253743,0.145989151583333,0.0148536705886894,0.0203710241111566,0.0222308068393088,0.0316044835226841,1.01203222473737,0.0701085996441509,0.0608930459018632,0.0826286908544678,0,0.119487919370018,0.011883938817136,0.191671624049888,0.992710283656303,0.235566300915143,0.00361351532498803,89.51385849,4.475692925,10.48614151,1.048614151,0.175709963,0.017570996,2187.768178,58.29252023,1331.46149,522.7119355,1397.543318,16.95048652,79.78694045,0.954822132,28.06949723,0.234649235,9355.988249,27.23893955,0.761205508,0.003005595,2.98969441,0.02200764,3.255429522,0.010150183,12.50967591,0.167196198,1.332775979,0.02334512,1.525038372,0.011740776,25.05462045,0.186955871,2.113253146,0.03629458,2.373368867,0.02400569,0.111198299,0.000588647
"Bird Island","BI10","BI10.1",10,11.7,12.8,12.3,132.083333333333,21782.6666666667,52798.3333333333,52036.5,1.29166666666667,0.0189473366674052,0.108330375876452,0.0240127591314434,0.0245817785563953,2.25278621676606,0.0633200765289696,0.368593410411422,0.13605323992119,0.00838870188019205,0.0535998851777897,0.0189670249373731,1.76858735841107,80.896776027754,11.6458527080065,0.143955505083333,0.0164430322482061,0.0287559888446626,0.0148225806066842,0.0233704997327662,0.379723034940704,0.0654960021524796,0.04380237502335,0.102293927480184,0.024659488133246,0.0839130883631707,0.0456581447865968,0.218581817241434,0.507645251883,0.270058870257566,0.00301099939000146,86.3842849,4.319214245,13.6157151,1.36157151,0.145233799,0.01452338,2538.801945,60.0436628,1545.22611,589.8765904,2547.021617,33.02866289,340.544392,4.893302391,37.1899001,0.366072293,3942.206507,48.5012016,1.745989306,0.00454165,3.556521683,0.014282314,5.828405269,0.020076539,13.94648753,0.043639925,1.743850558,0.029034748,4.398970104,0.046912281,46.4043754,0.519109914,6.431024383,0.078886265,1.816847326,0.011704502,0.392855167,0.002705738
"Bird Island","BI10","BI10.1",22,26.7,27.8,27.2,382.866666666667,21759.5833333333,52292.1666666667,51401.9166666667,1.33,0.0219716156617602,0.243455278232217,0.0618646138745448,0.0553453013330347,2.91306487742071,0.0969399192558283,0.395841455535071,0.169709693008281,0.177082793707153,0.143158128365599,0.481911787072006,1.63372834927209,79.3786080412845,11.7490950133701,0.148022999166667,0.0177713768306234,0.0409959157709345,0.0259186371934027,0.016270123645334,0.2630780741355,0.0658134341109337,0.0354341894259921,0.0903874055593321,0.118631196352943,0.150922091735009,0.113497626614508,0.1624926576575,0.457525137461933,0.221901526314316,0.00320273418525427,80.34415977,4.017207989,19.65584023,1.965584023,0.214200619,0.021420062,6654.725412,133.8869744,4972.490853,1373.757336,6361.863436,96.22229039,1070.668936,10.73236296,59.55046887,0.237697509,4568.280308,27.82191253,1.171208352,0.012269219,7.052448962,0.06465722,18.80830619,0.176446353,83.1136075,1.204215632,4.803888726,0.047934098,19.01381163,0.109765839,121.9608593,0.839622095,35.64216716,0.676354366,5.697875838,0.054057547,2.206277124,0.022103189
"Bird Island","BI10","BI10.1",30,36.3,37.2,36.7,541.72,22119.4,57449,56540.2,1.346,0.0463819839922912,0.3858290337625,0.133383295205551,0.0778176122520302,14.1064536367579,0.256496397867457,0.378409736745743,0.242977716007442,0.131204058655496,0.0821909742306216,0.622258624716265,1.40176972103445,68.2010014872816,10.9308785232733,0.1602627916,0.039757305004422,0.0548987703299031,0.0481778522396202,0.0303161488081067,1.37336368486013,0.0987218355076983,0.0784014372702192,0.0891687571124245,0.0470449760839496,0.063958938199115,0.201263877830535,0.169295937768965,0.827006324188957,0.253512910053694,0.00242683010150897,78.20947367,3.910473683,21.79052633,2.179052633,0.303817276,0.030381728,3726.942347,91.16765458,16457.36219,3980.600316,8442.247188,102.4072847,1962.99309,30.40726253,148.1529747,0.305567488,18556.10587,33.23324312,14.98993637,0.050641414,9.844407416,0.040880493,25.3957986,0.092788179,90.06087679,0.829001857,7.177832466,0.057235004,43.16823811,0.83280191,150.558177,2.59385652,40.9140318,0.917402906,4.940056387,0.065822161,4.042046336,0.032130391
"Bird Island","BI10","BI10.1",34,40.9,41.9,41.4,618.7,23491.9090909091,61638.1818181818,60724.6363636364,1.34909090909091,0.0183946763158912,0.283360395933265,0.0546190641658839,0.0601002473174079,17.468460595723,0.424896452323413,0.375171651629446,0.234519527423291,0.0289959186980307,0.00948260506332067,0.245503787073657,1.36822787759101,67.0310787930194,10.3855990327901,0.154934023454545,0.0136890305237411,0.0402839138740896,0.0215591110100752,0.0283283763294072,1.20414940989301,0.0970340644961766,0.0669661633325769,0.080556908908718,0.0320360849470355,0.0169490648844932,0.165074880891807,0.149524814663102,0.994652627760347,0.281017286036539,0.00334895066566226,80.52653948,4.026326974,19.47346052,1.947346052,0.25962259,0.025962259,3202.443185,82.71131473,10808.43657,2190.076237,8467.75867,27.42631931,1538.231355,7.943023099,149.1109339,0.185893427,34440.81517,173.6494448,4.788646274,0.037728077,10.02079263,0.096502178,25.1006547,0.200410389,83.32372544,0.676115824,7.880957488,0.074791029,21.08188416,0.09353744,145.2111951,2.397227724,27.74345656,3.945793598,7.408811877,0.095574739,2.195438664,0.011765005
"Bird Island","BI10","BI10.2",45,44,45,44.5,670.06,23876.4,60911.7,59939.7,1.358,0.024744655831081,0.413480347153504,0.065452792726174,0.0531884661469314,11.2478629598111,0.315431777602712,0.365943613375867,0.236813035032382,0.443045786518933,0.0794427345737734,0.61480327017036,1.44449605427658,71.2302787960001,11.112561460442,0.1560056543,0.0129945836441187,0.0467330819494768,0.0238084575316061,0.0264947506907605,1.74856945599221,0.118441886892076,0.0628623178244996,0.0477878099927342,0.0873305679555854,0.0858957324014482,0.132105730877862,0.196991221204881,1.51592867201783,0.290631998621055,0.00207374814577925,73.71568049,3.685784024,26.28431951,2.628431951,0.351176997,0.0351177,1394.696114,24.37745178,66668.75515,13007.37375,10818.31417,94.24288942,3006.601666,14.09773486,498.7089785,6.046753704,25853.87296,38.38777974,6.375776882,0.021747503,9.325702706,0.028353619,12.41602198,0.076135345,63.36397587,0.318454995,4.414249569,0.038359467,138.1998527,2.068052956,165.8736664,2.61051165,60.55383697,6.691084732,3.509034885,0.044750539,10.86384958,0.079884546
"Bird Island","BI10","BI10.2",51,51.9,52.9,52.4,800.245454545455,24296.5454545455,57427.3636363636,56445.2727272727,1.31909090909091,0.0180530652955216,0.356861785405355,0.0245837087908236,0.0616688768816489,1.87715809073292,0.108938955500548,0.416964569801947,0.221546766259649,0.00576549797887265,0.0559833560522104,0.533957873410727,1.64249180487797,80.1707322264078,11.9304349183746,0.148821987636364,0.0149174936266344,0.0268629536265097,0.0247852452834665,0.0300421605291775,0.317940486714373,0.0621294757556127,0.0542851162839597,0.0646250595134051,0.019121993525473,0.108376896422831,0.175512575489907,0.167398696891861,0.465707637522506,0.258120910870143,0.00355121707675302,84.86290758,4.243145379,15.13709242,1.513709242,0.178667469,0.017866747,3384.904962,93.00445812,2479.827204,632.4407929,6975.196896,67.76762951,301.0170716,3.519876752,55.70453095,0.688199618,26327.35852,199.5705658,17.04437568,0.072771457,9.672030755,0.061309265,30.70187991,0.12301453,154.2471074,0.912951267,10.64861794,0.177330122,5.28425398,0.054223017,110.8952002,2.069414432,6.355756988,0.110447115,2.861172068,0.011046014,0.732997581,0.006237929
"Bird Island","BI10","BI10.2",54,55.3,56.3,55.8,856.145454545455,24361,56855.4545454545,55945.4545454545,1.39818181818182,0.0109436495303064,0.312746668204592,0.0151721725407795,0.05909143906275,1.5168973767904,0.0620498564418949,0.433783446679785,0.231578132542993,0.0231958387608486,0.0508426900874298,0.252462154035728,1.64829609602764,80.940615911754,11.9122823278524,0.147191485818182,0.013892354066728,0.0299758746014798,0.0167618345158282,0.0280077291638715,0.143285114747633,0.0612516009313258,0.0561965056365194,0.0976110184749952,0.0395103967257909,0.0650719391460696,0.171828635516228,0.11045322584039,0.496035747406178,0.224962728364171,0.00357246424196973,77.63395109,3.881697554,22.36604891,2.236604891,0.276912503,0.02769125,3001.682437,49.99798666,23399.21394,3611.164788,7326.374157,349.9533771,1904.013462,92.77560752,235.7531016,13.60034647,20544.92897,1107.050592,5.701846016,0.226259322,6.289145655,1.766837081,12.23274868,0.369735042,56.72463202,1.511547748,5.236852561,0.016924834,58.41930414,1.652885172,153.965778,1.949345735,31.40903404,0.597663272,6.319566267,0.119404834,4.857814687,0.12796856
"Bird Island","BI10","BI10.2",62,64.4,65.4,64.9,1005.71818181818,22100.0909090909,54142.1818181818,53136.2727272727,1.27,0.0492569773234493,0.511591052495102,0.123486431224939,0.0995760877090462,4.88370049109785,0.137716914499441,0.370458194725954,0.247284605153668,0.935099219304241,0.258634821046909,1.09047043305662,1.61929535458366,74.775539169771,11.8527093178747,0.158576433909091,0.0398229967491521,0.0930354067015458,0.0894903885739792,0.0637837090304097,0.544305679820571,0.0329299719051452,0.0506537915347229,0.114675486299497,0.150827670434676,0.216379693467356,0.329321228372807,0.181818988490682,1.38572044126941,0.218219394541538,0.00478949806078012,87.79085529,4.389542764,12.20914471,1.220914471,0.143757408,0.014375741,4341.206788,110.6435017,867.9986358,403.6307052,5816.665099,70.73844961,225.6496719,2.024591047,36.54824658,0.120334052,2355.109726,9.689444316,1.54911114,0.010688746,7.635178907,0.081872982,44.61646774,0.152122701,109.0593506,0.741410788,6.931517761,0.104210602,3.560602291,0.038361736,97.81476508,1.178390202,6.255310392,0.136212551,4.714142544,0.009348352,0.621271024,0.00212764
