"Site","Element","Model","Rank_site","Robustness_score_site","R2_overall","RMSE_overall","RMSEP_overall","SNR_CI_s","SNR_smooth_s","n_mean"
"ALL","Ca","PLS_LOO",1,0.906635831237828,0.714591218855023,0.380160401230266,5060.00126868248,0.844393052063046,1,13396
"ALL","Ca","PLS_kfold",2,0.906635831237828,0.714591218855023,0.380160401230266,5060.00126868248,0.844393052063046,1,13396
"ALL","Ca","Bayes",3,0.750483554248261,0.71849446314204,0.377551919451181,4920.26934220119,0.880795412567876,0.555015766768837,13396
"ALL","Ca","RF",4,0.726757777082745,0.739371873885863,0.363281977243897,4506.9080410246,1,0.316894442706861,13396
"ALL","Ca","OLS_weighted",5,0.578088805740328,0.60078407376705,0.449611220751241,5620.88386479327,0.963481342900547,0,14519
"ALL","Ca","OLS",6,0.45638065772608,0.605349695781694,0.447032844459699,5504.63271481712,0.758376912734568,0.00338627521334799,14519
"ALL","Ca","WLS",7,0.258091483370363,0.604685117514639,0.447409080513934,5446.04597912254,0,0.645228708425907,14519
"ALL","Ca","WLS_weighted",8,0.252172925711866,0.604732452698864,0.447382293228408,5447.03371534874,0.00545628098595968,0.622247892800727,14519
"ALL","Fe","OLS_weighted",1,0.897115941270993,0.705011398870254,0.619652240442579,19165.0781241486,1,0.742789853177484,14519
"ALL","Fe","RF",2,0.703506878395634,0.80646417107391,0.501910285388067,18226.9640487726,0.505844797326056,1,13396
"ALL","Fe","OLS",3,0.581018235194729,0.711860213839782,0.612416695598065,19046.317786508,0.437589437736436,0.79616143138217,14519
"ALL","Fe","Bayes",4,0.453520021465305,0.782666025570093,0.531874559979908,13054.643263387,0.572207111049672,0.275489387088756,13396
"ALL","Fe","WLS_weighted",5,0.39580367612697,0.711404682307114,0.612900601250386,19121.2837499281,0.00718974203791843,0.978724577260547,14519
"ALL","Fe","WLS",6,0.389772949268523,0.711426381771426,0.612877558837851,19118.97376675,0,0.974432373171306,14519
"ALL","Fe","PLS_LOO",7,0.372243629935591,0.769588412151896,0.547643031052147,12699.4253247054,0.620406049892652,0,13396
"ALL","Fe","PLS_kfold",8,0.372243629935591,0.769588412151896,0.547643031052147,12699.4253247054,0.620406049892652,0,13396
"ALL","Mn","RF",1,0.913215185006381,0.693783864178937,0.533068349436722,100.340442065868,0.855358641677302,1,13396
"ALL","Mn","Bayes",2,0.715807434658306,0.675458563365959,0.54878715622519,106.167683499791,0.990055493180809,0.304435346874551,13396
"ALL","Mn","PLS_LOO",3,0.686068804501398,0.652472643614871,0.567888873609633,106.37886834467,0.90614383647643,0.355956256538849,13396
"ALL","Mn","PLS_kfold",4,0.686068804501398,0.652472643614871,0.567888873609633,106.37886834467,0.90614383647643,0.355956256538849,13396
"ALL","Mn","OLS",5,0.6,0.642325781154841,0.576119639333299,111.776118917736,1,0,14095
"ALL","Mn","OLS_weighted",6,0.236241395048962,0.621575234052913,0.592595892589243,115.442539169045,0.245494305312877,0.222362029653091,14095
"ALL","Mn","WLS",7,0.13563904741809,0.64171449487873,0.57661174033931,108.962939644912,0.00258780130396593,0.335215916589276,14095
"ALL","Mn","WLS_weighted",8,0.0939644491093728,0.642027836746649,0.576359544649593,109.653909631702,0,0.234911122773432,14095
"ALL","Sr","OLS",1,0.611874360384443,0.605940022011523,0.388440903375382,59.7735590156883,0.624036078797696,0.593631782764563,14005
"ALL","Sr","RF",2,0.6,0.724605462674095,0.324729281645887,42.4284084999708,1,0,13396
"ALL","Sr","PLS_LOO",3,0.583747234110487,0.681443929954195,0.349250256346248,60.5526521980026,0.747902937307632,0.33751367931477,13396
"ALL","Sr","PLS_kfold",4,0.583747234110487,0.681443929954195,0.349250256346248,60.5526521980026,0.747902937307632,0.33751367931477,13396
"ALL","Sr","Bayes",5,0.573001033918287,0.719033486991341,0.327997906598047,49.7050467588939,0.882748761495878,0.1083794425519,13396
"ALL","Sr","OLS_weighted",6,0.4,0.588442221601662,0.396971381054182,68.563181097856,0,1,14005
"ALL","Sr","WLS_weighted",7,0.333067871522865,0.605197017350042,0.38880693583257,61.616501941787,0.0842749089743282,0.706257315345669,14005
"ALL","Sr","WLS",8,0.272167133062119,0.605899324973479,0.388460961218056,59.3656290640811,0.0745264347859501,0.568628180476374,14005
"ALL","Ti","Bayes",1,1,0.769067236846491,0.591446999353038,1783.30513592537,1,1,13396
"ALL","Ti","RF",2,0.951083211746964,0.756878389356067,0.606854866359101,1582.52952794485,0.922750724892684,0.993581942028383,13396
"ALL","Ti","PLS_LOO",3,0.912732978330015,0.754035431978301,0.610392701137588,2029.36926987965,0.964866790636458,0.834532259870352,13396
"ALL","Ti","PLS_kfold",4,0.912732978330015,0.754035431978301,0.610392701137588,2029.36926987965,0.964866790636458,0.834532259870352,13396
"ALL","Ti","OLS",5,0.648863037913925,0.729930592021033,0.639603384224678,2035.54425020404,0.968687534319326,0.169126293305823,14219
"ALL","Ti","OLS_weighted",6,0.571147785372915,0.718555763474536,0.652933928562262,2173.73266969499,0.951912975621524,0,14219
"ALL","Ti","WLS",7,0.332419261309599,0.728935134347202,0.640781067535794,1882.89538666468,0,0.831048153273996,14219
"ALL","Ti","WLS_weighted",8,0.308964386703489,0.72919658362992,0.640471967780676,1893.08238585334,0.0198210867395631,0.742679336649378,14219
"ALL","Zr","RF",1,0.668600505881299,0.763434294129901,0.639191072577344,44.0874905808599,0.447667509802165,1,13396
"ALL","Zr","PLS_LOO",2,0.633685036457866,0.697291605179832,0.723047851394819,93.2499291193699,1,0.0842125911446649,13396
"ALL","Zr","Bayes",3,0.580385268979159,0.723503699572672,0.691034085621477,78.0488237943269,0.773271377407729,0.291056106336306,13396
"ALL","Zr","PLS_kfold",4,0.561071077919377,0.666923514991935,0.758449717250912,101.723366963639,0.849227380376624,0.128836624233507,13396
"ALL","Zr","OLS",5,0.504634840280448,0.608456680906178,0.822327315016661,148.16046066862,0.812402091624064,0.0429839632650235,14519
"ALL","Zr","WLS_weighted",6,0.365634837787483,0.608229412035276,0.822565937768544,162.575252795128,0.601984966345547,0.0111096449503869,14519
"ALL","Zr","WLS",7,0.24321678530448,0.608323185716187,0.822467487738816,159.077231156446,0.393138927671835,0.0183335717534482,14519
"ALL","Zr","OLS_weighted",8,0,0.401191970178938,1.01694769214115,153.784821913486,0,0,14519
